Vcem_fraction,Vcem_percent,Cn,lnCn,static_raw_objective,static_adjusted_objective,combined_raw_objective,combined_adjusted_objective
0.004200000000000001,0.42000000000000004,5.44816615814704,1.6952790673077966,151.63639419889756,5.057135476053645,2176.699503079906,13.068133226073314
0.004200000000000001,0.42000000000000004,5.6384584367312005,1.729610701328675,119.71576246964945,4.003412301990409,1663.7955258590914,10.09739427564773
0.004200000000000001,0.42000000000000004,5.835397199698845,1.7639423353495534,91.4063339565468,3.0635400432381914,1230.6548645005503,7.5524666515987064
0.004200000000000001,0.42000000000000004,6.03921459390842,1.7982739693704317,66.7780974099926,2.241420340593905,871.5457773429824,5.409764316543942
0.004200000000000001,0.42000000000000004,6.250150874589772,1.83260560339131,45.900166598255765,1.5410379829838021,581.1719639353913,3.6487623166494814
0.004200000000000001,0.42000000000000004,6.468454688551455,1.8669372374121884,28.840743995285564,0.9664601985130794,354.6364505471815,2.2516574708899952
0.004200000000000001,0.42000000000000004,6.694383367279839,1.901268871433067,15.6670883017622,0.5218359036067124,187.4089085834695,1.203068250945563
0.004200000000000001,0.42000000000000004,6.928203230275509,1.9356005054539454,6.445486074508027,0.2113949222935494,75.29603473329664,0.4897692201088688
0.004200000000000001,0.42000000000000004,7.170189898984537,1.969932139474824,1.2412277377766467,0.039447188721896564,14.41466675516326,0.10045598161639546
0.004200000000000001,0.42000000000000004,7.420628621694667,2.004263773495702,0.11858824742374904,0.010381947020381144,1.1673478315487602,0.02553708986645198
0.004200000000000001,0.42000000000000004,7.679814609779395,2.038595407516581,3.1408126754509462,0.12866696362269225,32.22008629070513,0.2569498138625299
0.004200000000000001,0.42000000000000004,7.948053385686311,2.072927041537459,10.370106977941571,0.39884776815510037,104.48208694809966,0.7879970207568192
0.004200000000000001,0.42000000000000004,8.225661143079892,2.1072586755583376,21.8676342039567,0.8255469399354034,215.0872559909689,1.6132027768798594
0.004200000000000001,0.42000000000000004,8.51296511956328,2.141590309579216,37.69351639654496,1.4134634580452499,361.3773037495605,2.7281845510857465
0.004200000000000001,0.42000000000000004,8.810303982418398,2.1759219436000947,57.90684242965412,2.167372133809806,540.8862893183076,4.129540156503026
0.004200000000000001,0.42000000000000004,9.11802822781911,2.2102535776209726,82.56568201643682,3.0921231453440328,751.3264681920689,5.81474778684003
0.004200000000000001,0.42000000000000004,9.436500593988008,2.2445852116418514,111.72710611525898,4.192641694599132,990.5753191925636,7.782077696479632
0.004200000000000001,0.42000000000000004,9.766096488783825,2.27891684566273,145.44721394965376,5.4739278080614895,1256.6636402559232,10.030514243286461
0.004200000000000001,0.42000000000000004,10.107204432223549,2.313248479683608,183.78116684761693,6.941056302916593,1547.7646143723534,12.559687162450018
0.004200000000000001,0.42000000000000004,10.46022651446083,2.347580113704487,226.78322909400475,8.599176941086853,1862.183757316519,15.369811071386266
0.004200000000000001,0.42000000000000004,10.825578869760541,2.3819117477253653,274.50681597746427,10.45351479408572,2198.349667958145,18.461632321941124
0.004200000000000001,0.42000000000000004,11.20369216702824,2.4162433817462436,327.0045492004016,12.509370842096644,2554.8055100476577,21.836382419012807
0.004200000000000001,0.42000000000000004,11.595012117472708,2.450575015767122,384.3283198069614,14.77212283108048,2930.2011615609294,25.495737315490715
0.004200000000000001,0.42000000000000004,12.0,2.4849066497880004,446.52935877004177,17.247226412047496,3323.285974074155,29.44178197411611
0.0053,0.53,4.0,1.3862943611198906,473.1309224013954,15.421215405941325,8662.284567183273,48.997361691084734
0.0053,0.53,4.139711068319459,1.4206259951407691,417.711996946498,13.664643788163517,7375.282063267339,41.98467453334797
0.0053,0.53,4.284301932291658,1.4549576291616475,365.3992840976689,11.997048833070608,6225.29197045427,35.693466353308395
0.0053,0.53,4.433943032282555,1.4892892631825259,316.26796935375444,10.421747460049971,5202.037255680558,30.06394207179892
0.0053,0.53,4.588810761759508,1.5236208972034044,270.3927089312922,8.942143633770627,4296.0792264640395,25.04349175938387
0.0053,0.53,4.749087675219821,1.5579525312242828,227.84757436836492,7.561728228485464,3498.740277097523,20.585862001068563
0.0053,0.53,4.914962703381755,1.5922841652451614,188.70599907939027,6.284078795071764,2802.034856186713,16.65042729578863
0.0053,0.53,5.086631375891694,1.6266157992660397,153.0407271231295,5.112859235706509,2198.6076582673463,13.201548683785404
0.0053,0.53,5.26429605180997,1.660947433286918,120.92376445063195,4.051819392052153,1681.6781780053466,10.208008581477543
0.0053,0.53,5.436001877454284,1.6930438416630622,94.17016883398554,3.162905950251158,1271.0958852829701,7.797001055789906
0.0053,0.53,5.44816615814704,1.6952790673077966,92.42633290341354,3.104794553833784,1244.9908807804754,7.64251231557364
0.0053,0.53,5.6384584367312005,1.729610701328675,67.61882723506429,2.2757048957094383,882.7703416662033,5.4812481319718245
0.0053,0.53,5.835397199698845,1.7639423353495534,46.57077543147676,1.5685548513774918,589.6807887211339,3.7034985485873904
0.0053,0.53,6.03921459390842,1.7982739693704317,29.350802606085722,0.987432434909703,360.78955838820445,2.291296855581379
0.0053,0.53,6.250150874589772,1.83260560339131,16.026598746765185,0.5365085203536122,191.53403254500904,1.2291233671861619
0.0053,0.53,6.468454688551455,1.8669372374121884,6.664890590412215,0.22003609169880534,77.69167992940748,0.5036367173778018
0.0053,0.53,6.694383367279839,1.901268871433067,1.3314178996489114,0.04234947634373576,15.352870581399596,0.10343608458259013
0.0053,0.53,6.928203230275509,1.9356005054539454,0.09091441355292605,0.00786357623240716,0.8961716832653972,0.018850742873816828
0.0053,0.53,7.170189898984537,1.969932139474824,3.0070937408080027,0.12107311184031166,30.965867654939306,0.24175378079725718
0.0053,0.53,7.420628621694667,2.004263773495702,10.142640459188717,0.38655189517625566,102.45147733556287,0.7653972141687575
0.0053,0.53,7.679814609779395,2.038595407516581,21.55920667983515,0.808952148922419,212.4690671983699,1.5842660543821125
