design,pressures_mpa,fabric_mode,state_log_sigma,state_precision_percent,adjustment,pressure_nuisance_prior_precision_factor,pressure_nuisance_prior_sd_factor,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg
symmetric_10_40,10+40,fixed,0.0025,0.25,full_pressure_nuisance,0.25,2.0,0.8699019317994385,13.997857532665684,0.06214536258633993,4.011396921533569,248.65031416230497,15.768649725398335,423.16440999613326,12.281236205665564,12.281236205665595
symmetric_10_40,10+40,fixed,0.0025,0.25,full_pressure_nuisance,1.0,1.0,1.2848053948978073,23.269670101604856,0.05521373484401901,4.25575322923549,367.2451495974138,19.163641344937915,1038.9744027102038,18.904633995782856,18.904633995782856
symmetric_10_40,10+40,fixed,0.0025,0.25,full_pressure_nuisance,4.0,0.5,1.474294136280756,34.74433299845267,0.0424326504223412,4.854560527009756,421.408076880064,20.528226345207322,1780.1040452836833,22.02838847120727,22.02838847120727
symmetric_10_40,10+40,fixed,0.005,0.5,raw,1.0,1.0,44.23116347354538,1194.4153794156405,0.03703164262267384,5.196530871737772,4895.02888132649,69.96448299906524,24645.402237761573,23.030666304823402,23.030666304823402
symmetric_10_40,10+40,fixed,0.005,0.5,shared_static_nuisance,1.0,1.0,1.928982657148401,292.2411346346649,0.0066006541466513665,12.30853914413254,551.3749609929275,23.481374767950182,19590.563970026637,27.150231275005467,27.150231275005467
symmetric_10_40,10+40,fixed,0.005,0.5,full_pressure_nuisance,0.25,2.0,0.82518950968599,13.368916878438789,0.06172448502666994,4.02504984001488,235.8698415606763,15.358054615109177,383.3780036107886,11.600992790458829,11.600992790458829
symmetric_10_40,10+40,fixed,0.005,0.5,full_pressure_nuisance,1.0,1.0,1.2526201911542754,21.885655207185867,0.05723475853457629,4.179940237690856,358.04542175492855,18.922088197525362,952.7001442168214,18.41029052654086,18.410290526540837
symmetric_10_40,10+40,fixed,0.005,0.5,full_pressure_nuisance,4.0,0.5,1.449357887268931,32.244330296643284,0.04494923212654886,4.716706593899021,414.28036980853943,20.353878495474504,1624.0757048055334,21.656399095132848,21.656399095132848
symmetric_10_40,10+40,fixed,0.01,1.0,raw,1.0,1.0,28.543457294850185,459.04955533441546,0.062179468345321474,4.010296634687613,3158.882490503963,56.20393661038311,6112.492045700368,14.37412137398829,14.37412137398829
symmetric_10_40,10+40,fixed,0.01,1.0,shared_static_nuisance,1.0,1.0,1.7918749517448793,157.66156260018198,0.011365325334805549,9.380134463373116,512.184481265934,22.631493129396787,9817.723467858408,26.783224261074,26.783224261073983
symmetric_10_40,10+40,fixed,0.01,1.0,full_pressure_nuisance,0.25,2.0,0.7978974074851044,13.049445580934496,0.0611441614539432,4.044105748294622,228.06874405953346,15.101945042263049,361.8398416984887,11.19401115930368,11.19401115930368
symmetric_10_40,10+40,fixed,0.01,1.0,full_pressure_nuisance,1.0,1.0,1.221212670255131,20.831640139889085,0.05862297265382931,4.1301524420747056,349.067984582813,18.68336116930819,884.0809575993178,17.91753525614835,17.91753525614835
symmetric_10_40,10+40,fixed,0.01,1.0,full_pressure_nuisance,4.0,0.5,1.4146480559930439,29.675320988184748,0.047670859451066666,4.580084695275651,404.35900955426683,20.108679955538275,1458.8851462915213,21.102157743549306,21.102157743549306
symmetric_10_40,10+40,fixed,0.02,2.0,raw,1.0,1.0,11.337128987500996,288.4925010767847,0.03929782904299313,5.044472054900478,1254.6713553744291,35.421340394943115,1525.7724793163427,5.382166779467622,5.382166779467622
symmetric_10_40,10+40,fixed,0.02,2.0,shared_static_nuisance,1.0,1.0,1.6404693821207403,60.607578840308605,0.027067066751554587,6.07826181591818,468.9071403648855,21.654263791800577,3455.193184124576,24.770978711843792,24.770978711843807
symmetric_10_40,10+40,fixed,0.02,2.0,full_pressure_nuisance,0.25,2.0,0.7496505005416669,12.57417622810163,0.059618259434466706,4.095532284000042,214.27798428500392,14.638237062057847,327.5786948005508,10.491921655153018,10.491921655153053
symmetric_10_40,10+40,fixed,0.02,2.0,full_pressure_nuisance,1.0,1.0,1.1393439375336505,18.63747012075163,0.06113189881201011,4.044511337970542,325.6668569762137,18.046242184350007,737.936642868833,16.625964852478088,16.625964852478088
symmetric_10_40,10+40,fixed,0.02,2.0,full_pressure_nuisance,4.0,0.5,1.3127371078336998,24.28064511196817,0.054065165969854674,4.300720605718521,375.2290716266872,19.370830432035877,1107.6823950592848,19.454104066238322,19.454104066238322
symmetric_10_40,10+40,fixed,0.05,5.0,raw,1.0,1.0,2.1410830993424526,245.11479984674878,0.008735021715053947,10.699611417731298,236.95202173168732,15.393245977755546,244.82469285213935,0.9767140477633176,0.9767140477636906
