replicate,block_length_samples,fabric_mode,design,pressures_mpa,static_lambda_min,combined_lambda_min,lambda_min_gain,worst_sd_reduction,spectral_ratio
6,5,expanded_nuisance,best_pair,5+7.5,0.0031265599738801164,0.011002123656563612,3.5189229531745654,1.8758792480259932,0.0006097238549853204
7,5,shared,best_single,5,0.0032189156506376992,2.128998669155395,661.4024411399594,25.717745646536738,0.08898965971685331
7,5,shared,best_pair,5+7.5,0.0032189156506376992,2.1972503028348185,682.6057409735236,26.126724650700545,0.08400573052174251
7,5,nuisance,best_single,5,0.0032189156506376992,1.2133936013453988,376.9572530131423,19.415387016826173,0.059396185638856056
7,5,nuisance,best_pair,5+7.5,0.0032189156506376992,1.2658391700060747,393.2501834135664,19.830536639576003,0.05820593589231083
7,5,expanded_nuisance,best_single,5,0.0032189156506376992,0.008074241332365784,2.5083730699082456,1.5837844139617758,0.00047864220752442634
7,5,expanded_nuisance,best_pair,5+7.5,0.0032189156506376992,0.01049649773543182,3.260880021305423,1.8057906914438957,0.0006070244503898803
8,5,shared,best_single,5,0.003083350557742115,2.1040422245842114,682.3882608161706,26.122562294234665,0.0870212592015844
8,5,shared,best_pair,5+7.5,0.003083350557742115,2.168587611301827,703.3217828107896,26.520214607178232,0.08184672890954295
8,5,nuisance,best_single,5,0.003083350557742115,1.2085872744483934,391.9720615009865,19.798284307004646,0.058888091848373264
8,5,nuisance,best_pair,5+7.5,0.003083350557742115,1.2597759936232866,408.57371551867885,20.213206463069604,0.05753647044980475
8,5,expanded_nuisance,best_single,5,0.003083350557742115,0.008115395126127911,2.6320053377487755,1.62234562832609,0.00048434603940737404
8,5,expanded_nuisance,best_pair,5+7.5,0.003083350557742115,0.010592688993716237,3.4354475092423753,1.85349602353023,0.0006163815405466554
9,5,shared,best_single,5,0.0031703096464335,2.0607404053547493,650.0123442746416,25.495339657957913,0.0864181851204049
9,5,shared,best_pair,5+7.5,0.0031703096464335,2.1227462412837363,669.5706344242304,25.876062962209502,0.08116824203390004
9,5,nuisance,best_single,5,0.0031703096464335,1.186726513641358,374.32511205218975,19.347483351903673,0.0587626173387343
9,5,nuisance,best_pair,5+7.5,0.0031703096464335,1.2370116827684683,390.18639209582193,19.753136259739158,0.05737556733299467
9,5,expanded_nuisance,best_single,5,0.0031703096464335,0.008209055995178183,2.589354640614716,1.6091471780464073,0.000498305699738559
9,5,expanded_nuisance,best_pair,5+7.5,0.0031703096464335,0.010707717817769247,3.377499049600753,1.8377973363787294,0.0006335091330412926
10,5,shared,best_single,5,0.003325750845601938,2.132515316856837,641.2131924064403,25.322187749213935,0.08750687447713769
