block_length_samples,block_length_m,replicate,best_pressure_1_mpa,best_pressure_2_mpa,best_lambda_min,full_sample_design_lambda_min,full_sample_design_selected,full_sample_design_regret_fraction
5,20,38,5.0,7.5,0.012109844701488903,0.012109844701488903,True,0.0
5,20,39,5.0,7.5,0.01165958911284104,0.01165958911284104,True,0.0
5,20,40,5.0,7.5,0.011424012967445218,0.011424012967445218,True,0.0
5,20,41,5.0,7.5,0.011873342376652385,0.011873342376652385,True,0.0
5,20,42,5.0,7.5,0.010630691951848625,0.010630691951848625,True,0.0
5,20,43,5.0,7.5,0.012330787335751214,0.012330787335751214,True,0.0
5,20,44,5.0,7.5,0.010569841580341688,0.010569841580341688,True,0.0
5,20,45,5.0,7.5,0.011404422736237763,0.011404422736237763,True,0.0
5,20,46,5.0,7.5,0.0105215452658185,0.0105215452658185,True,0.0
5,20,47,5.0,7.5,0.012137297856035012,0.012137297856035012,True,0.0
5,20,48,5.0,7.5,0.01075409318653442,0.01075409318653442,True,0.0
5,20,49,5.0,7.5,0.011424915944754144,0.011424915944754144,True,0.0
5,20,50,5.0,7.5,0.011742646554674607,0.011742646554674607,True,0.0
5,20,51,5.0,7.5,0.010848358974532513,0.010848358974532513,True,0.0
5,20,52,5.0,7.5,0.011410638437987508,0.011410638437987508,True,0.0
5,20,53,5.0,7.5,0.0118462292767747,0.0118462292767747,True,0.0
5,20,54,5.0,7.5,0.010935489900317563,0.010935489900317563,True,0.0
5,20,55,5.0,7.5,0.011746003672786554,0.011746003672786554,True,0.0
5,20,56,5.0,7.5,0.011330838850341696,0.011330838850341696,True,0.0
5,20,57,5.0,7.5,0.011597913617013678,0.011597913617013678,True,0.0
5,20,58,5.0,7.5,0.011820011237412498,0.011820011237412498,True,0.0
5,20,59,5.0,7.5,0.01147506775631113,0.01147506775631113,True,0.0
5,20,60,5.0,7.5,0.01214859431185955,0.01214859431185955,True,0.0
5,20,61,5.0,7.5,0.01249278668676812,0.01249278668676812,True,0.0
5,20,62,5.0,7.5,0.010362883535501854,0.010362883535501854,True,0.0
5,20,63,5.0,7.5,0.011412188485759867,0.011412188485759867,True,0.0
5,20,64,5.0,7.5,0.010980777016691423,0.010980777016691423,True,0.0
5,20,65,5.0,7.5,0.011546228744819587,0.011546228744819587,True,0.0
5,20,66,5.0,7.5,0.011569872918078872,0.011569872918078872,True,0.0
5,20,67,5.0,7.5,0.010839345632849717,0.010839345632849717,True,0.0
5,20,68,5.0,7.5,0.011227278336443547,0.011227278336443547,True,0.0
5,20,69,5.0,7.5,0.011469197654442986,0.011469197654442986,True,0.0
5,20,70,5.0,7.5,0.011274974112652991,0.011274974112652991,True,0.0
5,20,71,5.0,7.5,0.011011423783661822,0.011011423783661822,True,0.0
5,20,72,5.0,7.5,0.01158772005291464,0.01158772005291464,True,0.0
5,20,73,5.0,7.5,0.012237306334059284,0.012237306334059284,True,0.0
5,20,74,5.0,7.5,0.011996450743468667,0.011996450743468667,True,0.0
5,20,75,5.0,7.5,0.011272885840808655,0.011272885840808655,True,0.0
5,20,76,5.0,7.5,0.010414519379518428,0.010414519379518428,True,0.0
5,20,77,5.0,7.5,0.01142077799788277,0.01142077799788277,True,0.0
5,20,78,5.0,7.5,0.01253267364225552,0.01253267364225552,True,0.0
5,20,79,5.0,7.5,0.0114477103758035,0.0114477103758035,True,0.0
5,20,80,5.0,7.5,0.012264521042734344,0.012264521042734344,True,0.0
5,20,81,5.0,7.5,0.011457510110571167,0.011457510110571167,True,0.0
5,20,82,5.0,7.5,0.011624544586557484,0.011624544586557484,True,0.0
5,20,83,5.0,7.5,0.011491576199549769,0.011491576199549769,True,0.0
5,20,84,5.0,7.5,0.011477413068562203,0.011477413068562203,True,0.0
5,20,85,5.0,7.5,0.01194848024726003,0.01194848024726003,True,0.0
5,20,86,5.0,7.5,0.01130376368565189,0.01130376368565189,True,0.0
5,20,87,5.0,7.5,0.011527261887757323,0.011527261887757323,True,0.0
5,20,88,5.0,7.5,0.011670917166855865,0.011670917166855865,True,0.0
5,20,89,5.0,7.5,0.01110817477494308,0.01110817477494308,True,0.0
5,20,90,5.0,7.5,0.011783078022339577,0.011783078022339577,True,0.0
5,20,91,5.0,7.5,0.011021066483766884,0.011021066483766884,True,0.0
5,20,92,5.0,7.5,0.01167277689358226,0.01167277689358226,True,0.0
5,20,93,5.0,7.5,0.01020036838438898,0.01020036838438898,True,0.0
