profile,Vcem_fraction,Vcem_percent,lnCn_MAP,Cn_MAP,objective_MAP,nuisance_prior_norm,optimizer_success,optimizer_nfev,optimizer_optimality,active_bounds,selected_start_strategy,candidate_count,MAP_phi_bias_sigma,MAP_vsh_bias_sigma,MAP_sw_bias_sigma,MAP_f_kf_shift_sigma,MAP_log_clay_mod_scale_sigma,MAP_brine_salinity_shift_sigma,MAP_GOR_shift_sigma,MAP_log_cement_mod_scale_sigma,MAP_phic_pack_shift_sigma,MAP_logP_calibration_sigma,MAP_log_stress_bulk_scale_sigma,MAP_log_stress_shear_scale_sigma,MAP_stiff_cement_volume_shift_sigma,MAP_ln_soft_cn_offset_sigma,MAP_ln_stiff_cn_offset_sigma,MAP_soft_phic_shift_sigma
shared_generic,0.0126576948636051,1.26576948636051,1.6915420013396492,5.427843998086027,0.0012569409455610906,0.03108508432321656,True,8,8.914526365882022e-08,0,nearest_multistart_MAP,2,-0.0009549820921923278,0.004293635889878827,-0.0010126267704182851,0.004635088299117478,-0.001198923891940375,5.1991095315655316e-05,0.0005635937834550607,-0.001431601548865872,0.006635543839395446,0.005416842694289273,0.00422022829671492,0.026624022037622597,-0.010981664957459508,0.0,0.0,0.0
shared_generic,0.012894992917744449,1.289499291774445,1.6884206905542183,5.410928423189792,0.012132362517223506,0.09658306354562528,True,5,2.513769535708781e-08,0,forward_continuation,2,-0.0029726599198236347,0.013385805305780072,-0.0031329774864161546,0.014465773189268564,-0.0037284444491496793,0.00016734542918517018,0.001737280267939492,-0.004388546247567008,0.020703112868934448,0.01678263764525233,0.012834018152293375,0.08270892317788674,-0.03419410685932954,0.0,0.0,0.0
shared_generic,0.0131322909718838,1.31322909718838,1.6853926883145107,5.394568900640697,0.033845347406034496,0.16132635207927995,True,5,1.5644140216074337e-07,0,forward_continuation,2,-0.004974390763909711,0.022432981738071643,-0.005211352688827958,0.024269006930008847,-0.006233173690303625,0.0002891619227760599,0.002879225201583825,-0.007233408924503655,0.03471980128852727,0.027955393338817542,0.0209847947268712,0.1381330836785161,-0.057222709670633566,0.0,0.0,0.0
shared_generic,0.01336958902602315,1.336958902602315,1.682454739859788,5.378743194213387,0.06602644515453267,0.22533895993499548,True,6,6.541075416240913e-08,0,nearest_multistart_MAP,2,-0.006960707186793387,0.03143604626763538,-0.007249385011071621,0.03404581910403958,-0.008713833495270289,0.0004172703616631539,0.003990758564272644,-0.009971388195988478,0.04868314882200557,0.03894325751433883,0.0286966093473286,0.1929213283022207,-0.08005672177530807,0.0,0.0,0.0
shared_generic,0.0136068870801625,1.36068870801625,1.6796037838854025,5.363430472488653,0.10832749074924283,0.2886437625768681,True,6,2.9244003939096804e-07,0,nearest_multistart_MAP,2,-0.008932153467695401,0.04039602335135381,-0.00924863710112705,0.043797357403693435,-0.011171139068334782,0.0005514731896867934,0.005073154953459008,-0.01260733297261021,0.0625911928588234,0.04975394450879436,0.035992059103744915,0.24709721907697896,-0.1026864020899404,0.0,0.0,0.0
shared_generic,0.01384418513430185,1.384418513430185,1.6768369423607754,5.348611221056989,0.16042017103370212,0.351262591424502,True,6,2.320606498401009e-07,0,forward_continuation,2,-0.010889285995298969,0.04931409155250484,-0.011210612392543092,0.05352490586645779,-0.013605799137723302,0.0006915695955500553,0.0061276329114198615,-0.015145764850232998,0.07644247562515069,0.06039474390665976,0.04289234489948776,0.3006830748178091,-0.1251030717452317,0.0,0.0,0.0
shared_generic,0.014081483188441199,1.40814831884412,1.6741515125797466,5.334267169788261,0.22199470494060855,0.41321631156737715,True,6,5.330381098826798e-07,0,forward_continuation,2,-0.012832656357531306,0.05819159254503522,-0.013136799906759105,0.06322990540284967,-0.016018520681528117,0.0008375006704624663,0.007155331629071972,-0.01759086508048806,0.09023603122798586,0.07087253462402487,0.04941733832860824,0.35369998753158166,-0.14729915635824253,0.0,0.0,0.0
shared_generic,0.014318781242580549,1.431878124258055,1.6715449415299197,5.320381128749792,0.2927586271921912,0.4745248388823956,True,6,1.095768101866153e-06,0,forward_continuation,2,-0.014762835669877305,0.06702994394625325,-0.01502859414898704,0.07291385603060928,-0.01840999357358498,0.0009890612386277357,0.008157361669754941,-0.019946538126186145,0.10397122869737899,0.08119383667492033,0.05558574529217224,0.4061680167478385,-0.169267768677394,0.0,0.0,0.0
shared_generic,0.014556079296719898,1.4556079296719897,1.669014825593394,5.306936962489093,0.3724356661596267,0.5352072147939249,True,6,2.0757650347980974e-06,0,forward_continuation,2,-0.016680382627991017,0.07583066703758633,-0.016887366323533402,0.08257835850415295,-0.020780902591009533,0.0011461719339418445,0.009134765491055713,-0.022216434246833516,0.1176477897906884,0.09136481908445909,0.06141514923758738,0.4581061783303296,-0.19100280574331566,0.0,0.0,0.0
shared_generic,0.01479337735085925,1.479337735085925,1.6665588939410654,5.293919479593162,0.4607647075011447,0.5952816503106906,True,6,3.683400754759517e-06,0,forward_continuation,2,-0.0185858684210344,0.08459535561961233,-0.018714431092476676,0.09222508329355932,-0.023131916295231248,0.0013086895550039424,0.010088556596056652,-0.02440394368126843,0.13126573751989545,0.10139132184340899,0.06692209377046358,0.5095325253448783,-0.21249883272067327,0.0,0.0,0.0
