profile,Vcem_fraction,Vcem_percent,start_strategy,start_lnCn,start_Cn,result_lnCn,result_Cn,objective,success,nfev,optimality,active_bounds,start_phi_bias_sigma,start_vsh_bias_sigma,start_sw_bias_sigma,start_f_kf_shift_sigma,start_log_clay_mod_scale_sigma,start_brine_salinity_shift_sigma,start_GOR_shift_sigma,start_log_cement_mod_scale_sigma,start_phic_pack_shift_sigma,result_phi_bias_sigma,result_vsh_bias_sigma,result_sw_bias_sigma,result_f_kf_shift_sigma,result_log_clay_mod_scale_sigma,result_brine_salinity_shift_sigma,result_GOR_shift_sigma,result_log_cement_mod_scale_sigma,result_phic_pack_shift_sigma,start_logP_calibration_sigma,start_log_stress_bulk_scale_sigma,start_log_stress_shear_scale_sigma,start_stiff_cement_volume_shift_sigma,start_ln_soft_cn_offset_sigma,start_ln_stiff_cn_offset_sigma,start_soft_phic_shift_sigma,result_logP_calibration_sigma,result_log_stress_bulk_scale_sigma,result_log_stress_shear_scale_sigma,result_stiff_cement_volume_shift_sigma,result_ln_soft_cn_offset_sigma,result_ln_stiff_cn_offset_sigma,result_soft_phic_shift_sigma
expanded_generic,0.0029666666666666,0.29666666666666003,reverse_low_to_high,2.432381505662206,11.385965558920022,2.0991432504348673,8.159176546255804,0.021355891384532512,True,13,3.3620981678798473e-07,0,-0.005109026789370809,0.01339856390274156,-0.012814757405551236,0.009503236598871019,0.07971111973508697,-0.002730297841013489,0.002415862775258319,0.011084153758355746,0.0014698582508396781,-0.0038410991933116503,0.009590724576855916,-0.013626643790004994,0.0010025692899612256,0.054005128869155976,-0.002586817403140385,0.002978155744337731,0.00598491995026701,-0.001026389652570275,-0.005321901245087594,-0.005926356126050709,-0.031069354227954017,-0.02041355813066978,-0.02128759534810325,0.013148667885795506,-0.00041913459351584215,-0.003935850189424716,-0.0014225046872107935,-0.025710395230418542,-0.015502177825490515,-0.015743393303027257,0.007592288756855824,-0.0003319908598219171
expanded_generic,0.0049333333333333,0.49333333333333,reverse_low_to_high,2.0991432504348673,8.159176546255804,1.9489057423843512,7.021000592216035,0.01175042129293541,True,8,1.6633665087012268e-07,0,-0.0038410991933116503,0.009590724576855916,-0.013626643790004994,0.0010025692899612256,0.054005128869155976,-0.002586817403140385,0.002978155744337731,0.00598491995026701,-0.001026389652570275,-0.0029248178212979664,0.007121916912587032,-0.01180373977080845,-0.0014268145228338782,0.03899762917309266,-0.002159494728909372,0.002677444767236661,0.0038021918023469,-0.001624802390859616,-0.003935850189424716,-0.0014225046872107935,-0.025710395230418542,-0.015502177825490515,-0.015743393303027257,0.007592288756855824,-0.0003319908598219171,-0.0029682966081885425,1.5941526407733415e-05,-0.020401768404573285,-0.0118684516422521,-0.011873192128596373,0.004937738199964177,-0.0002473959933200205
expanded_generic,0.0068999999999999,0.6899999999999901,reverse_low_to_high,1.9489057423843512,7.021000592216035,1.8531914497426327,6.380148989961889,0.005963521148989991,True,10,3.428867210032146e-08,0,-0.0029248178212979664,0.007121916912587032,-0.01180373977080845,-0.0014268145228338782,0.03899762917309266,-0.002159494728909372,0.002677444767236661,0.0038021918023469,-0.001624802390859616,-0.002112855910298687,0.0050554604948797556,-0.009209205613464753,-0.00207426192082754,0.027162495369797205,-0.001650020030193266,0.002128223583502742,0.002400285035842158,-0.0016252111992113983,-0.0029682966081885425,1.5941526407733415e-05,-0.020401768404573285,-0.0118684516422521,-0.011873192128596373,0.004937738199964177,-0.0002473959933200205,-0.0021246555863068638,0.0005520579837356354,-0.015114601034732843,-0.008611272494023181,-0.008498631021402378,0.0031504079056276554,-0.00016534876994661973
expanded_generic,0.0088666666666666,0.8866666666666599,reverse_low_to_high,1.8531914497426327,6.380148989961889,1.7840906502118459,5.954163068112141,0.0024010294844260586,True,6,2.703148847441987e-07,0,-0.002112855910298687,0.0050554604948797556,-0.009209205613464753,-0.00207426192082754,0.027162495369797205,-0.001650020030193266,0.002128223583502742,0.002400285035842158,-0.0016252111992113983,-0.0013518751327056685,0.003190487427765141,-0.006219293361463899,-0.0018255028585015187,0.016900134099174246,-0.0010985255854928438,0.0014540348514235429,0.001373084313576927,-0.0012818937552759719,-0.0021246555863068638,0.0005520579837356354,-0.015114601034732843,-0.008611272494023181,-0.008498631021402378,0.0031504079056276554,-0.00016534876994661973,-0.0013464850276810767,0.0006216453347588661,-0.00984094059982995,-0.005531209248098572,-0.005385948250095786,0.0018090928395067794,-9.313807802868253e-05
expanded_generic,0.0108333333333333,1.0833333333333302,reverse_low_to_high,1.7840906502118459,5.954163068112141,1.7307975036323606,5.64515414464803,0.0005010255919787283,True,6,6.00193421034822e-08,0,-0.0013518751327056685,0.003190487427765141,-0.006219293361463899,-0.0018255028585015187,0.016900134099174246,-0.0010985255854928438,0.0014540348514235429,0.001373084313576927,-0.0012818937552759719,-0.0006207859469762647,0.0014483134364184503,-0.0029760521439251408,-0.0010206908431120041,0.007586129303979879,-0.0005200296694288255,0.000701411571293053,0.0005712970398321568,-0.0006877289382450648,-0.0013464850276810767,0.0006216453347588661,-0.00984094059982995,-0.005531209248098572,-0.005385948250095786,0.0018090928395067794,-9.313807802868253e-05,-0.000612078235302903,0.00038803067673569866,-0.004577219069338939,-0.0025490324110635436,-0.002448301164020618,0.0007520707559552215,-3.564695202524433e-05
expanded_generic,0.012546045825196,1.2546045825196002,reverse_low_to_high,1.7307975036323606,5.64515414464803,1.693043841668538,5.436001877484052,8.583245580317426e-18,True,7,2.5262298171202373e-08,0,-0.0006207859469762647,0.0014483134364184503,-0.0029760521439251408,-0.0010206908431120041,0.007586129303979879,-0.0005200296694288255,0.000701411571293053,0.0005712970398321568,-0.0006877289382450648,2.352700075751724e-10,-2.470898135856955e-10,7.265803874599259e-11,-1.37658391700619e-10,-2.598608996461139e-10,2.8647591058184154e-22,1.461002400073479e-10,2.57012761888099e-10,2.522044312714217e-10,-0.000612078235302903,0.00038803067673569866,-0.004577219069338939,-0.0025490324110635436,-0.002448301164020618,0.0007520707559552215,-3.564695202524433e-05,2.3802381100553423e-10,-5.320754245179302e-10,2.7135537629626523e-10,-6.486001677244984e-26,4.0037694102805e-10,2.3128788071230748e-10,1.562246670439548e-10
expanded_generic,0.0127999999999999,1.27999999999999,reverse_low_to_high,1.693043841668538,5.436001877484052,1.6880021071523876,5.408663972327187,1.1396970430567692e-05,True,33,0.02188704365054678,0,2.352700075751724e-10,-2.470898135856955e-10,7.265803874599259e-11,-1.37658391700619e-10,-2.598608996461139e-10,2.8647591058184154e-22,1.461002400073479e-10,2.57012761888099e-10,2.522044312714217e-10,-1.832909702702481e-05,7.34194489647177e-11,1.0635519374645073e-05,0.00018761540493264224,-0.0010676345570283777,-8.814758660152484e-23,-5.7724384512308175e-05,-6.411049752986535e-05,0.0001752744965941929,2.3802381100553423e-10,-5.320754245179302e-10,2.7135537629626523e-10,-6.486001677244984e-26,4.0037694102805e-10,2.3128788071230748e-10,1.562246670439548e-10,9.743737332102573e-05,-7.51429502286946e-05,0.0007351331646331579,-1.4505172417539079e-21,0.0003897472574482028,-5.875618705956944e-05,1.1166828600913724e-05
expanded_generic,0.0147666666666666,1.47666666666666,reverse_low_to_high,1.6880021071523876,5.408663972327187,1.6527845784321644,5.221499276794617,0.0008557956949630406,True,30,0.1696210841870627,0,-1.832909702702481e-05,7.34194489647177e-11,1.0635519374645073e-05,0.00018761540493264224,-0.0010676345570283777,-8.814758660152484e-23,-5.7724384512308175e-05,-6.411049752986535e-05,0.0001752744965941929,-0.00018473881599956023,-5.587782019064109e-11,9.193174060276295e-05,0.00182070625305839,-0.009096187101708845,3.094205558351371e-19,-0.0005224093549806847,-0.0005027651837742965,0.0016451727288036876,9.743737332102573e-05,-7.51429502286946e-05,0.0007351331646331579,-1.4505172417539079e-21,0.0003897472574482028,-5.875618705956944e-05,1.1166828600913724e-05,0.0008359927484576803,-0.0007547849405943772,0.0064200768098300765,5.517770434011961e-20,0.003344179849223398,-0.00042463517106244793,8.521611697183488e-05
expanded_generic,0.0167333333333333,1.6733333333333302,reverse_low_to_high,1.6527845784321644,5.221499276794617,1.6231462873096583,5.069013827335631,0.0030029387343788625,True,37,0.007210842631009226,0,-0.00018473881599956023,-5.587782019064109e-11,9.193174060276295e-05,0.00182070625305839,-0.009096187101708845,3.094205558351371e-19,-0.0005224093549806847,-0.0005027651837742965,0.0016451727288036876,-0.0003862062683582272,1.7463507947946561e-10,0.00016958547434744588,0.0037130006471280614,-0.016735522366164404,-1.300639007203918e-18,-0.0010226749404996676,-0.0008430638510361191,0.003326604559653284,0.0008359927484576803,-0.0007547849405943772,0.0064200768098300765,5.517770434011961e-20,0.003344179849223398,-0.00042463517106244793,8.521611697183488e-05,0.0015505458350009056,-0.0015931408199415958,0.012104626197455467,-6.408504454688442e-20,0.006202225200520298,-0.0006345739948003261,0.00013676232511261206
expanded_generic,0.0186999999999999,1.8699999999999901,reverse_low_to_high,1.6231462873096583,5.069013827335631,1.597839085894441,4.9423409026544,0.0064235599757518705,True,29,0.17243823350799603,0,-0.0003862062683582272,1.7463507947946561e-10,0.00016958547434744588,0.0037130006471280614,-0.016735522366164404,-1.300639007203918e-18,-0.0010226749404996676,-0.0008430638510361191,0.003326604559653284,-0.0006190560896626261,1.0309798427255786e-10,0.0002483449947247015,0.005829126583529834,-0.024133174286831347,-3.731354760935938e-19,-0.0015422750946074866,-0.001118254486399688,0.005185887769599949,0.0015505458350009056,-0.0015931408199415958,0.012104626197455467,-6.408504454688442e-20,0.006202225200520298,-0.0006345739948003261,0.00013676232511261206,0.0022368898034015755,-0.0025770792968526687,0.01775888278769807,2.658837874812793e-20,0.008947542005191201,-0.0007491738873381732,0.00015726000872613285
