profile,Vcem_fraction,Vcem_percent,lnCn_MAP,Cn_MAP,objective_MAP,nuisance_prior_norm,optimizer_success,optimizer_nfev,optimizer_optimality,active_bounds,MAP_phi_bias_sigma,MAP_vsh_bias_sigma,MAP_sw_bias_sigma,MAP_f_kf_shift_sigma,MAP_log_clay_mod_scale_sigma,MAP_brine_salinity_shift_sigma,MAP_GOR_shift_sigma,MAP_log_cement_mod_scale_sigma,MAP_phic_pack_shift_sigma,MAP_logP_calibration_sigma,MAP_log_stress_bulk_scale_sigma,MAP_log_stress_shear_scale_sigma,MAP_stiff_cement_volume_shift_sigma,MAP_ln_soft_cn_offset_sigma,MAP_ln_stiff_cn_offset_sigma,MAP_soft_phic_shift_sigma
shared_generic,0.014766666666666664,1.4766666666666663,1.6668315469781791,5.295363079609531,0.4503979832409541,0.5885493489708546,True,6,1.3868417440943229e-05,0,-0.018371986630796748,0.08361045325700514,-0.01851044543796581,0.09113979488423271,-0.022868154429219193,0.0012900531989072845,0.009982504777011462,-0.024160882342691228,0.12973760268221907,0.1002699254602252,0.06631728484847398,0.5037670975778142,-0.21009476397789836,0.0,0.0,0.0
shared_generic,0.016733333333333333,1.6733333333333333,1.6490148995172835,5.20185295449558,1.4787707150052398,1.0656557806870046,True,8,4.246095596443124e-05,0,-0.033781757817316634,0.15511537188552932,-0.032614149346690775,0.17065074493543017,-0.041685894862411206,0.0028299056118577166,0.017112355662850215,-0.03955557553972284,0.24047748714845563,0.17858516393883622,0.10164229023746149,0.9127541752571668,-0.37875886390066643,0.0,0.0,0.0
shared_generic,0.018699999999999998,1.8699999999999999,1.6352273101647343,5.130624107498823,2.978722035891661,1.5100846056015973,True,10,0.00013269503543759194,0,-0.04870354689034559,0.22526858327326052,-0.04522568476237858,0.2501249958761846,-0.05950863390630197,0.004702027037743301,0.02311233344092706,-0.05077602251762282,0.34782058081349465,0.24974309988664867,0.12245091535894266,1.295249274877849,-0.5290918783645084,0.0,0.0,0.0
shared_generic,0.020666666666666667,2.0666666666666664,1.6248310177324514,5.077560946918678,4.87729274003529,1.9277319477604702,True,14,0.00019825946474167115,0,-0.06341557672739821,0.29510087973572535,-0.05681951769840961,0.33069218254095106,-0.0766107528317857,0.0068999222602251714,0.02829743146112569,-0.05859775475035563,0.45265784410956816,0.31539448993979846,0.13318866505957633,1.6565012126033742,-0.6604536825530555,0.0,0.0,0.0
shared_generic,0.02263333333333333,2.263333333333333,1.6174028172040698,5.039983545035656,7.126337069505402,2.3228342776285182,True,20,0.0007002135002209474,0,-0.07816475488400501,0.36558812573865107,-0.06775951920743943,0.413482634093844,-0.09321360565027963,0.009435393668504766,0.03288811198178277,-0.06343177839170015,0.555893729347534,0.37659981479697585,0.13675258553277958,1.9998787697135776,-0.7728459032774466,0.0,0.0,0.0
shared_generic,0.024599999999999997,2.4599999999999995,1.612656596169306,5.016119346298639,9.693539431487265,2.6983815406022114,True,18,0.00017917783611672721,0,-0.09316021580916144,0.43757454366969967,-0.0783242477131302,0.4995514457980911,-0.10949508012012564,0.012335134963005938,0.037041803142063755,-0.06551693697927014,0.6582064361554485,0.43403126554254773,0.13512586713573269,2.327469909125164,-0.8663869658260006,0.0,0.0,0.0
shared_generic,0.026566666666666666,2.6566666666666667,1.6104121778975684,5.0048737010711495,12.556718523293982,3.0564523516435336,True,21,0.00036768907118950474,0,-0.10859566591146191,0.5118614026062425,-0.08873694568173417,0.5899814164242314,-0.1256065477363608,0.015641436867198093,0.040870718395641166,-0.06490803762740968,0.7601032853435847,0.4880383937480342,0.12963931605360118,2.6401436884129774,-0.9418836935796826,0.0,0.0,0.0
shared_generic,0.02853333333333333,2.853333333333333,1.610540662698993,5.005516792587645,15.699995706253299,3.398286856392355,True,23,0.00014158802624955033,0,-0.1246172477686906,0.5890306051715188,-0.0991635326774355,0.6856620436142389,-0.14165708885454506,0.019399393711661505,0.04445277167179504,-0.06166303867900616,0.861668237534938,0.5387606046501068,0.1212617705215917,2.9379983742208795,-1.0002028547404316,0.0,0.0,0.0
shared_generic,0.0305,3.05,1.6129804908594094,5.0177443038631875,19.111069115759086,3.7244404392399337,True,23,0.0001956886877910867,0,-0.14135570940186082,0.6696137901917005,-0.10971377898935807,0.7875184629025365,-0.15775787841570243,0.023667646540991044,0.047831044734134825,-0.055801712306044866,0.962686648188634,0.5862032536156034,0.11072218679084694,3.220459578239839,-1.0421140041432786,0.0,0.0,0.0
shared_generic,0.032466666666666665,3.2466666666666666,1.617683308509933,5.041397414881562,22.779163007216017,4.034818429472079,True,25,0.00016886151049034313,0,-0.1588912427835178,0.7538915457120979,-0.12045297449151465,0.8962313269829816,-0.17397730722622162,0.02850592761508743,0.05102348088622732,-0.04736103145198768,1.0623991762542224,0.6301296812842063,0.09849437360573932,3.486313098132104,-1.0689521128316568,0.0,0.0,0.0
