profile,Vcem_fraction,Vcem_percent,start_strategy,start_lnCn,start_Cn,result_lnCn,result_Cn,objective,success,nfev,optimality,active_bounds,start_phi_bias_sigma,start_vsh_bias_sigma,start_sw_bias_sigma,start_f_kf_shift_sigma,start_log_clay_mod_scale_sigma,start_brine_salinity_shift_sigma,start_GOR_shift_sigma,start_log_cement_mod_scale_sigma,start_phic_pack_shift_sigma,result_phi_bias_sigma,result_vsh_bias_sigma,result_sw_bias_sigma,result_f_kf_shift_sigma,result_log_clay_mod_scale_sigma,result_brine_salinity_shift_sigma,result_GOR_shift_sigma,result_log_cement_mod_scale_sigma,result_phic_pack_shift_sigma,start_logP_calibration_sigma,start_log_stress_bulk_scale_sigma,start_log_stress_shear_scale_sigma,start_stiff_cement_volume_shift_sigma,start_ln_soft_cn_offset_sigma,start_ln_stiff_cn_offset_sigma,start_soft_phic_shift_sigma,result_logP_calibration_sigma,result_log_stress_bulk_scale_sigma,result_log_stress_shear_scale_sigma,result_stiff_cement_volume_shift_sigma,result_ln_soft_cn_offset_sigma,result_ln_stiff_cn_offset_sigma,result_soft_phic_shift_sigma,stored_objective,stored_Cn,objective_improvement,Cn_shift_from_stored
expanded_generic,0.0186999999999999,1.8699999999999901,reverse_high_to_low,1.5758630467859798,4.83491257374372,1.597721146603602,4.941758040845087,0.006304474167799108,True,34,0.17069423076792226,0,0.0006557743142715261,1.2287502502612036e-10,0.0021031619763433123,0.006911179843562174,-0.03100352000415434,0.006565409532040447,-0.003653890141807315,-0.0008169554897197209,0.00780534715164557,0.0005528855057824972,1.1359994526378972e-10,0.0015774476977729274,0.004783156783595913,-0.023841958919204827,0.0049137520430795655,-0.0027204422493539476,-0.0006749786962261582,0.005701390680643245,0.0029442606869661395,-0.003376822269241313,0.023251650051376433,0.011356652610716245,0.011756698022563608,0.00012097407718682036,0.00027525371322964965,0.002263396416055734,-0.0023602018985260566,0.01760280428712014,0.008628040710050836,0.009019981610231419,-0.0001979919297586885,0.0002409753864249759,0.0063049175863313,4.941927980662275,4.4341853219168753e-07,-0.00016993981718727014
expanded_generic,0.0206666666666666,2.06666666666666,reverse_high_to_low,1.5568282775800721,4.74375149626565,1.5758630467859798,4.83491257374372,0.010899446618223344,True,36,0.18213735579708396,0,0.000757391369131413,1.0471460581984836e-10,0.00263512152809349,0.009143361121337517,-0.03794016532941929,0.008243641072524673,-0.004614448879525977,-0.000884401831965801,0.01011570091230391,0.0006557743142715261,1.2287502502612036e-10,0.0021031619763433123,0.006911179843562174,-0.03100352000415434,0.006565409532040447,-0.003653890141807315,-0.0008169554897197209,0.00780534715164557,0.003601829088485604,-0.004520060874988133,0.028875148227745062,0.014088183341393688,0.014393866924201412,0.0004934475191326883,0.00027880798856697205,0.0029442606869661395,-0.003376822269241313,0.023251650051376433,0.011356652610716245,0.011756698022563608,0.00012097407718682036,0.00027525371322964965,0.0109009412132557,4.835016784353836,1.4945950323561746e-06,-0.00010421061011545163
expanded_generic,0.0226333333333333,2.26333333333333,reverse_high_to_low,1.539285236387563,4.661257382850973,1.5568282775800721,4.74375149626565,0.016736895702136507,True,38,0.609405955811151,0,0.0013284505526620898,5.2443453395384395e-11,0.003218488682369366,0.0071659363229208,-0.04450054453168047,0.009887559051065755,-0.005876282119254858,0.0024834701172113454,0.017289553418776724,0.000757391369131413,1.0471460581984836e-10,0.00263512152809349,0.009143361121337517,-0.03794016532941929,0.008243641072524673,-0.004614448879525977,-0.000884401831965801,0.01011570091230391,0.003394370717547393,-0.007168263773398557,0.03185591980166238,0.018775367538747277,0.013879031655964326,-0.00543723841720075,-0.0009348070025038467,0.003601829088485604,-0.004520060874988133,0.028875148227745062,0.014088183341393688,0.014393866924201412,0.0004934475191326883,0.00027880798856697205,0.0167388867797939,4.743829968534371,1.9910776573942024e-06,-7.847226872037538e-05
expanded_generic,0.0245999999999999,2.45999999999999,stored_refined,1.5401645749639508,4.665358008937309,1.5401645749032775,4.6653580086542465,0.02383148452873759,True,17,0.044579623830056044,0,0.0008409989800772,2.407249333985552e-09,0.0031428374623355,0.0115690709168383,-0.0445509499482725,0.0099003624548281,-0.0055920661737271,-0.0008668263766099,0.0126398811653831,0.0008409990034020762,3.6092047666017597e-10,0.00314283750068711,0.011569071395488687,-0.04455095062546779,0.009900362524296444,-0.0055920661995720496,-0.0008668265706684644,0.012639880947513145,0.0042602837519899,-0.0057328649945026,0.0345772247584105,0.0168312778074228,0.0170399488032984,0.0011429232347662,0.0002850709081551,0.004260283699964116,-0.005732865021895374,0.034577224486034314,0.01683127790458269,0.01703994859467673,0.0011429228098081493,0.0002850708455042843,0.0238314846083611,4.665358008937309,7.962351264434453e-11,-2.830624623584299e-10
expanded_generic,0.0265666666666666,2.65666666666666,stored_refined,1.5255676476323257,4.597752732146494,1.5254721513562122,4.597313684846109,0.03218570662404434,True,27,1.0461894711536808,0,0.0005922574127147,2.579596936449561e-10,0.0038029775093388,0.0150258522888034,-0.0523462696263691,0.0115054924790935,-0.0066189616525275,-0.0010900820252328,0.0147113812315602,0.0008740801945628238,-5.129980499933358e-11,0.0038460318393380654,0.013891818741393013,-0.052442597167195744,0.011793820425620525,-0.006696997371663806,-0.0008699406973704324,0.015322628463131724,0.0048555471869825,-0.0071297835416579,0.0400841816741391,0.0197115503297227,0.0194327106591818,0.0014741884487245,0.0002248488025431,0.004848023388827479,-0.007158575424849981,0.0400493385770779,0.019667848050414143,0.01939212274715651,0.001383051892401413,0.00019919658439486644,0.0322005169918971,4.597752732146494,1.4810367852759188e-05,-0.0004390473003850204
expanded_generic,0.0285333333333333,2.85333333333333,stored_refined,1.514249999813243,4.546010339356383,1.512503717561589,4.53807864968502,0.041841028355149294,True,35,0.001813544926876816,0,-0.0001412562157688,-1.3283884254407972e-10,0.0047002796804615,0.0257803112814875,-0.0607372541163528,0.0140522586436984,-0.0074934484721764,-0.0076299995454652,0.0094086067672877,0.0009558552386211205,-1.394803021117707e-10,0.004353961482081478,0.016544577150702015,-0.05907100259901868,0.013476820015843567,-0.007690995825193045,-0.0008033833332220199,0.018188930412127765,0.0071448793912239,-0.006338165007899,0.0511918954545525,0.0185060567585113,0.0275968331543054,0.0137779458327198,0.0023869490762439,0.0054372915455744054,-0.008643187162687659,0.045631800708567635,0.022493645836600892,0.021755526839016586,0.001963483732667059,0.00010229208686549206,0.0423225462033772,4.546010339356383,0.00048151784822790533,-0.007931689671362818
expanded_generic,0.0305,3.05,stored_refined,1.5032653071663171,4.496347080205054,1.5010177415768107,4.486252593489002,0.05281664128369005,True,31,0.05621080338081221,0,-0.0005012225918164,-8.613142565957607e-11,0.0051354695830416,0.0315550082519532,-0.0671682761733691,0.0158284272167314,-0.0083976360303686,-0.0091335273462802,0.0102140373044738,0.0010118474791500278,7.833895938994528e-11,0.0049823813499035715,0.01926183983363255,-0.06573177395793593,0.01532978544253781,-0.008793739654681842,-0.0006853006614679845,0.021268058188040433,0.0080076440019137,-0.0075177436939608,0.0582382200183293,0.0205764380347969,0.0312960826726688,0.0181626593468305,0.0026744655539849,0.006007223666897983,-0.010206836659382325,0.0511436580790763,0.025287549580912977,0.024039117649861948,0.0026327321023773926,-2.2106117125793844e-05,0.0536139911979815,4.496347080205056,0.0007973499142914509,-0.01009448671605373
expanded_generic,0.0324666666666666,3.2466666666666604,stored_refined,1.493061836117523,4.450701998095328,1.4908255580745031,4.440760111495548,0.06514271392195475,True,28,1.2027269238762013,0,-0.0004815859224237,2.0830275214778839e-10,0.0056377058671492,0.0345126107488075,-0.0733883284954113,0.017573352403729,-0.0094473781910504,-0.0087359941507461,0.0136289595548368,0.00108886103782444,5.6587098972654825e-11,0.0052568902929802635,0.022125362879718672,-0.07215595275613369,0.017270992977770763,-0.009586906217404814,-0.0005465821650558308,0.024508330192545842,0.0084645454433176,-0.0092812114463073,0.0636044698668512,0.023597802737448,0.0333214254617187,0.018955715600344,0.0024181772070616,0.006518790319568205,-0.011986388641903383,0.05659798764542998,0.02804249941675711,0.02608503372615288,0.0032749200991518913,-0.0002202962491715796,0.0659337144139094,4.450701998095328,0.0007910004919546437,-0.009941886599779792
expanded_generic,0.0344333333333333,3.4433333333333302,stored_refined,1.483007672757652,4.4061781134073055,1.481771326198372,4.4007339164078125,0.07884791203237249,True,26,0.6754267894101806,0,0.0002382198524886,6.747436060215666e-10,0.0061664744529333,0.0315273959290192,-0.0792286407394748,0.0190607063346212,-0.0106696825335343,-0.0051314605848459,0.0213441367659422,0.0010935771285524368,-4.1225197012271285e-11,0.0061245915058146805,0.02487528983906504,-0.07883237155179276,0.018971359105899695,-0.010961493952004119,-0.0003314416753364346,0.028030019419277748,0.0080724283492547,-0.0121408079043104,0.0656443764251368,0.0284274303078492,0.0320748040393639,0.0127525542905865,0.0010056955425012,0.007058145683180677,-0.013762332241067265,0.062099004406287996,0.030856162515932522,0.028234924240778145,0.0040402110464211145,-0.0004117914279074198,0.0790935288920716,4.4061781134073055,0.0002456168596991076,-0.005444196999492945
expanded_generic,0.0363999999999999,3.63999999999999,stored_refined,1.4759068777482538,4.375001565981988,1.473750601655961,4.365578018238122,0.0939706389873327,True,37,0.054817206401774676,0,-0.0004162284816838,-7.239495571787329e-10,0.0070582140884849,0.03989687553413,-0.0872706462857676,0.021405367194308,-0.0119068838194053,-0.0079207224802946,0.0211265433445923,0.0010988028666599938,7.623955389096491e-10,0.006717644367784751,0.027839291590132667,-0.08488864333505301,0.020672400403283817,-0.012076163552992772,-8.691235147190967e-05,0.031717584471406414,0.00935548548283,-0.0132550858496049,0.0742264557067801,0.0296868542959696,0.0370268103495686,0.0197490795201111,0.0018825908580925,0.007567426212694707,-0.01564481730891166,0.06761114636510458,0.033701790211728144,0.030276393154865962,0.005020852907681805,-0.0006409224474992841,0.0946915002633773,4.375001565981988,0.000720861276044607,-0.009423547743865335
