Vcem_fraction,Vcem_percent,phi,Cn_fixed,beta_endpoint_K,beta_endpoint_G,beta_contact_K,beta_HS_path_K,beta_total_K,beta_contact_G,beta_HS_path_G,beta_total_G,dlnK_dln_a,dlnG_dln_a,dlnK_dphib,dlnG_dphib,dlnK_dlnCn_fixed,dlnG_dlnCn_fixed
0.009428571428571429,0.9428571428571428,0.17428571428571427,5.436001877454284,32.784903650173675,32.12866285239045,32.565770321581155,-4.421438841131657,28.144331480449498,32.15282203442476,-3.596653348120674,28.556168686304083,0.6066912954239001,0.6345724138157038,2.1840578803278277,1.8821524037093695,0.6456427641410301,0.6819496947585434
0.009428571428571429,0.9428571428571428,0.19,5.436001877454284,32.784903650173675,32.12866285239045,32.57663874814987,-4.531375380257043,28.045263367892826,32.15139783389484,-3.649805507474529,28.50159232642031,0.6357429649384017,0.6634096138213863,2.344765659856307,1.996851352714657,0.676386948228469,0.7129641190317669
0.009428571428571429,0.9428571428571428,0.20571428571428568,5.436001877454284,32.784903650173675,32.12866285239045,32.58806142506682,-4.646918340447778,27.941143084619043,32.14993090368701,-3.704552218790475,28.445378684896532,0.6631953858970974,0.6903294989868413,2.507506824400707,2.1091439528220235,0.7054052352017947,0.7419208071013371
0.009428571428571429,0.9428571428571428,0.22142857142857142,5.436001877454284,32.784903650173675,32.12866285239045,32.60008187093693,-4.768507801856503,27.831574069080432,32.14841930765825,-3.760966334161166,28.387452973497084,0.6893303723387588,0.7156039268707558,2.673531676933294,2.219763214128534,0.7329968067182334,0.7691118522501482
0.009428571428571429,0.9428571428571428,0.2371428571428571,5.436001877454284,32.784903650173675,32.12866285239045,32.612748266986884,-4.896631154493238,27.716117112493645,32.14686095386291,-3.81912520182015,28.327735752042763,0.714396330536715,0.7394640762825587,2.8440899093595817,2.3293594875184453,0.7594249238351835,0.794785664126607
0.009428571428571429,0.9428571428571428,0.25285714285714284,5.436001877454284,32.784903650173675,32.12866285239045,32.62611410757767,-5.031829605159822,27.59428450241785,32.14525364017083,-3.879111032293096,28.266142607877732,0.7386164890377244,0.7621084989750669,3.0204641614517413,2.438519718594989,0.7849256732583852,0.8191556167602697
0.009428571428571429,0.9428571428571428,0.26857142857142857,5.436001877454284,32.784903650173675,32.12866285239045,32.64023898427014,-5.174705840684993,27.465533143585148,32.143595030458386,-3.941011295583695,28.20258373487469,0.7621957216485952,0.7837094226914586,3.2040033168811988,2.547782870010451,0.8097152010222429,0.8424068196788425
0.009428571428571429,0.9428571428571428,0.28428571428571425,5.436001877454284,32.784903650173675,32.12866285239045,32.655189434784425,-5.325932989262505,27.32925644552192,32.14188264582836,-4.004919119909705,28.136963525918656,0.7853264119006552,0.8044177446819843,3.396157378432463,2.6576524980725935,0.833995911797558,0.8647014823282005
0.009428571428571429,0.9428571428571428,0.3,5.436001877454284,32.784903650173675,32.12866285239045,32.67104002703874,-5.486265243360341,27.1847747836784,32.140113796457854,-4.070933780110408,28.069180016347445,0.8081937204806876,0.8243670356122833,3.5985158977069887,2.7686072900934278,0.8579620139670395,0.8861832169415605
0.01364285714285714,1.364285714285714,0.08,5.436001877454284,22.508313785732298,22.03137332858794,22.316090146317233,-3.8776064923416396,18.438483653975595,22.053468274108848,-3.2901401043221505,18.763328169786696,0.3591215799403357,0.38045600145863995,1.1434621853823046,1.0401036227847271,0.3846690557196552,0.4112414568879785
0.01364285714285714,1.364285714285714,0.09571428571428571,5.436001877454284,22.508313785732298,22.03137332858794,22.32210042514972,-3.9594615285462966,18.362638896603425,22.052609665490646,-3.3332578140277165,18.71935185146293,0.40685315099153735,0.4302606228634431,1.322432247263805,1.1917226512281331,0.43570624050914825,0.46509005109385265
