Vcem_fraction,Vcem_percent,lnCn,Cn,delta_data_objective,beta_raw_projection,beta_raw_eigen,beta_adjusted_projection,beta_adjusted_eigen,raw_lambda_min,raw_lambda_max,adjusted_lambda_min,adjusted_lambda_max,raw_spectral_ratio,adjusted_spectral_ratio,raw_rho,adjusted_rho,raw_angular_independence,adjusted_angular_independence,raw_condition,adjusted_condition,retention_min,retention_max,beta_Vp_median,beta_Vp_q25,beta_Vp_q75,beta_Vs_median,beta_Vs_q25,beta_Vs_q75,strong_coordinate_angle_to_20p3_deg,a_c,m_N,m_T,m_G,m_N_minus_m_G,beta_endpoint_K,beta_endpoint_G,endpoint_log_jacobian_det
0.012799999999999999,1.2799999999999998,2.8903717578961645,18.0,2972.3162774357047,21.699049152008094,21.700325036603527,21.381986037288655,21.399033677501226,0.005647870172538205,350.4897402186117,0.00274792910305921,12.32702878178025,1.6114223968483206e-05,0.00022291901411966678,0.9999595032097209,0.9994469249262511,8.099194056809811e-05,0.001105844255460564,249.11237499377145,66.97711600761914,0.02963255458268764,0.5774771787556829,21.526022155203357,21.492587832090294,21.70663558620041,21.770960163079202,21.73581281597368,22.007919676632557,1.7296688668303566,0.2819656702508171,0.9538541033326399,0.9301265937046507,0.9406615669348072,0.013192536397832688,24.46365156192651,24.021266860349282,0.2576667265201697
0.0187,1.87,1.0986122886681098,3.0,427.4335079719837,11.619252003521623,11.622597224496184,11.379553990675769,11.416632257304682,0.017479718421309798,106.86486318082721,0.00800224494513202,4.264537415767684,0.00016356843494696823,0.0018764625948747807,0.9996667134981324,0.996163677070939,0.0006664619238428982,0.007657928484505971,78.18982675305038,23.08500878526762,0.0381731308968119,0.4785822883922133,11.399583319876307,11.316355717594345,11.736264422236971,11.613376494682297,11.568773880416337,11.944094362601316,15.624019584173926,0.48516778636060626,0.9253309237610353,0.8926704109932991,0.9072912961878857,0.018039627573149586,16.09374403311388,15.687947291394682,0.24117149161964685
0.0187,1.87,1.3225822223216166,3.753100214577221,138.7586098731116,11.823098417571273,11.826030402644061,11.543667996568452,11.577712303582395,0.01641374262934292,118.27290847739965,0.007311038491208954,4.355481535533906,0.0001387785490409189,0.0016785832821382281,0.9997184700374585,0.9965815514575707,0.0005629806659631642,0.006825211294421485,84.88653936627513,24.40779535129985,0.03437413598714885,0.4771891500758415,11.611857703296408,11.539038346462394,11.929202914240413,11.838623447623563,11.796677214561068,12.155345797175144,15.13101713949932,0.45874857768772714,0.9292679192178128,0.8980481233855245,0.9120102546955808,0.017257664522231986,16.18293954295997,15.793641131593448,0.23071744013679124
0.0187,1.87,1.5465521559751234,4.6952537402198615,6.342697247547278,12.048294993143614,12.050850398445466,11.736587932344738,11.767506559069258,0.015160205612268385,129.88161380247647,0.006665722677097197,4.507828237923464,0.00011672326181074386,0.0014786993481738712,0.9997641860840701,0.9970008500524606,0.00047157222365679097,0.005989304994670874,92.55956232027772,26.005191682847816,0.03150556661397633,0.48436699071577766,11.844112680947429,11.779206689890664,12.139685304089845,12.087873573442385,12.04527811930236,12.383139456665164,14.594803063695618,0.43376799418025075,0.9329389785983151,0.9030207474507628,0.9163881385706071,0.016550840027708014,16.26631638681297,15.891984949697898,0.22126791480893065
0.0187,1.87,1.7705220896286304,5.873919273304556,50.57013294294575,12.30085074855821,12.303076341654583,11.966689029318285,11.994763626525726,0.013846743618842083,141.70567318402266,0.00613413865714918,4.736808143941925,9.771481485332167e-05,0.0012949941122260464,0.9998033233867308,0.9973844149460482,0.00039331454484814454,0.005224328822729052,101.16255587218991,27.788563889866786,0.02953237081446413,0.5014252294353919,12.101548127135892,12.043287063097818,12.367725693429522,12.358782002022785,12.317239241033132,12.634228977409732,14.003834438203814,0.4101476972932133,0.9363607022809528,0.9076141335015891,0.9204463643211535,0.01591433795979935,16.344210255149427,15.983397769758561,0.21275852887432287
0.0187,1.87,1.9944920232821373,7.348469228349535,290.36373756547346,12.587209507089772,12.589160016300955,12.241049564943266,12.26684622766186,0.01260594899773082,153.88504657804532,0.005766945813138413,5.058572917376138,8.191795939924226e-05,0.001140034137558643,0.9998356367005315,0.9977067174028873,0.0003286995836426776,0.004581306049155187,110.48681066436295,29.61700044737538,0.028428963586458744,0.5289819973164146,12.391353816514371,12.341467210438864,12.627540975943528,12.659203098022298,12.619889826942863,12.916526321358228,13.346886907470713,0.3878136143097309,0.9395483091636446,0.9118516999013441,0.9242044264031957,0.015343882760448957,16.416931278282835,16.068264426724227,0.20513212246589513
0.0187,1.87,2.2184619569356445,9.193180479244251,743.3051237011912,12.913880579459825,12.915614836882717,12.564752507486427,12.588952013092184,0.011550677000137455,166.72742522319035,0.005584855652773335,5.49033028999757,6.92788063192069e-05,0.0010172166987745662,0.9998613115966539,0.9979609398412587,0.000277357572218917,0.004073962551151666,120.14336786082731,31.354022055134124,0.02812836105166956,0.5660457234218209,12.725280690673372,12.677258680262792,12.926741933125257,13.005057402334888,12.960308578028297,13.23851571663145,12.614224782646454,0.3666957060506343,0.942515759102287,0.9157546712942574,0.9276800770824235,0.014835682019863516,16.484765997243738,16.14693831255614,0.19833799491796145
0.0187,1.87,2.442431890589151,11.500975876432902,1426.2792612876988,13.286819409277333,13.288395128789231,12.94042644451973,12.963640580168617,0.010753397218635996,180.75066902786494,0.005573641011755726,6.0495808072409805,5.949298708807671e-05,0.0009213268140966753,0.9998810197483771,0.9981575905688694,0.00023794634694562777,0.003681424389749166,129.64838537850105,32.945275568125865,0.0284713704353492,0.6092987701566646,13.098829297345729,13.058244062532097,13.27285466055756,13.382432840824608,13.345153472445194,13.606823510807569,11.799229310686737,0.34672774723318744,0.9452758616615834,0.9193422872223581,0.9308894848623291,0.014386376799254252,16.54797913971279,16.219743834816352,0.19233124063174134
0.0187,1.87,2.6664018242426577,14.388105009895924,2356.7346021254034,13.710529836590462,13.711998006405775,13.367965557100229,13.390614474475523,0.010237627856604092,196.7261795975109,0.005689898642402547,6.751252185223663,5.203998714126213e-05,0.0008427916016610843,0.9998958438151073,0.9983158053232396,0.00020830152127448986,0.0033655528418116143,138.62176037661547,34.44608749404093,0.029184841519065474,0.65353676632229,13.526505650158164,13.490876500331964,13.673462824267421,13.81059870792482,13.77694931847185,14.012972838614093,10.900360433976722,0.32784711879009787,0.9478403728894204,0.922631985255731,0.9338473743313274,0.013992998558092995,16.606815222386505,16.286978621234383,0.18707217323653735
0.0187,1.87,2.8903717578961645,18.0,3554.60865214781,14.18693601281391,14.188336408823861,13.84433563669792,13.866632298669252,0.009985888731463888,215.72754898429497,0.005876540069580383,7.601267480665312,4.628935329993882e-05,0.000773100023716838,0.9999070675522883,0.9984526223667989,0.0001858562589835966,0.0030923608888625553,146.98040621202114,35.96517324960591,0.029896593671463655,0.6935753923252483,14.004167511105702,13.971172601941568,14.140178570774435,14.28805101153351,14.259173981963288,14.48786695949511,9.923103197788903,0.3099946114975381,0.950220081582542,0.9256395621169535,0.9365671498528344,0.013652931729707607,16.66149999846081,16.348915499341988,0.18252582526347066
0.0246,2.46,1.0986122886681098,3.0,341.81658339769297,7.694263468084231,7.69698438558386,7.440798193296107,7.472882026009226,0.022188629278021565,83.67723442927351,0.010607147899021951,3.2433242045389585,0.00026516924739877795,0.003270455628264818,0.9992931632872666,0.9910720880115752,0.0014131738073284161,0.017776116364376482,61.409904499191214,17.486217233434317,0.03680120034777725,0.503488100663273,7.475696340242045,7.378622116483377,7.772647859960971,7.709523826927315,7.659617111137997,8.009797140423252,26.705797449686266,0.5195954417469626,0.9201217804443194,0.8854924230262019,0.9010144267537862,0.01910735369053318,12.144416675572863,11.818900684717246,0.1941804236842803
0.0246,2.46,1.3225822223216166,3.753100214577221,89.32116827292907,7.8933204116285705,7.895733525886089,7.60075057657957,7.630701245957468,0.020893329038887742,92.32925640775039,0.009830400889134339,3.3216418699766894,0.00022629153371080213,0.002959500534355718,0.9994116346408702,0.9920855540283516,0.0011763845444636711,0.015766253488258553,66.47614815153754,18.381916485300543,0.03331499344619376,0.5080861087617488,7.68231357606917,7.5976948932239505,7.960793109970586,7.928632898536376,7.8892232934869515,8.212586960481248,26.069343021103684,0.49130151789855014,0.9244092229721182,0.8914052998431157,0.9061832830376209,0.018225939934497393,12.21801384325807,11.906561439371604,0.18522296681399789
0.0246,2.46,1.5465521559751234,4.6952537402198615,0.19104625133144282,8.117742609535407,8.119877763093163,7.794444341360802,7.822266115081028,0.01940354065974148,101.15018597776358,0.0091390045559262,3.4507136945260974,0.00019182901615234866,0.0026484389505925967,0.9995141465674536,0.993083794746198,0.0009714708115348136,0.013784576612491217,72.2009397533455,19.431441380831785,0.030764144923230808,0.5222943190096091,7.911284710763251,7.840779471572896,8.172318772479938,8.173490069070102,8.137629280624601,8.445195456555496,25.361480966994126,0.4645483044998834,0.9284083195414272,0.8968777237946772,0.910981923706087,0.017426395835340225,12.286846533417005,11.988206155445013,0.17709751865183154
0.0246,2.46,1.7705220896286304,5.873919273304556,95.16984362469981,8.37374571958812,8.375642571604129,8.030043991795774,8.056052911188672,0.01789475848708122,110.18763018371513,0.008622319269084078,3.642516123125353,0.00016240260778133993,0.0023671327669199035,0.9995998849765814,0.993984709742279,0.0008000699548053047,0.011994396798557294,78.46997254805946,20.55363743905581,0.029116522177412986,0.5470504746268305,8.168966410051677,8.109998503012193,8.4033893575496,8.452349850683154,8.414658778337397,8.701686590323456,24.56657559295474,0.4392519040787462,0.9321375518567064,0.9019388982105834,0.9154344001217243,0.016703151734982158,12.351196000854495,12.06418838821957,0.16974747698152598
