train,test,replicate,block_length_samples,block_length_m,unique_fraction_train,success,bound_hit,Vcem_train_bootstrap,Cn_train_bootstrap,A_raw,Gamma_raw,qstar_ratio_raw,local_exponential_ratio_raw,A_adjusted,Gamma_adjusted,qstar_ratio_adjusted,local_exponential_ratio_adjusted
BT2,19A,70,5,20,0.5666666666666667,True,False,0.008155365578773725,5.612176904939658,0.3048366020578911,1.5235504328368392,1.099035134455553,1.4531702596325602,0.305207223318311,1.5804075560337112,1.096809131818313,1.4507917930836194
BT2,19A,71,5,20,0.6,True,False,0.005213260103445172,7.250054701843356,0.3082899687666584,1.4984909811645433,0.9704353500092315,1.8958025201727993,0.3086543930824542,1.5619404169418507,0.9678880383919307,1.8924689460446855
BT2,19A,72,5,20,0.7333333333333333,True,False,0.0037145424631090987,7.21950564911804,0.30940826333900245,1.5421669626950518,1.0754927062367228,3.4186129220134167,0.3097138798749023,1.5859033751510043,1.0735698491498291,3.4166085842264557
BT2,19A,73,5,20,0.4666666666666667,True,False,0.002551770736988301,7.526452075851594,0.31075096874108027,1.5606819599734447,1.155787489614542,8.392462443874994,0.3108658308254461,1.6281702728734773,1.151645437744391,8.369410514743125
BT2,19A,74,5,20,0.5,True,False,0.00578608751908649,7.236729544669427,0.30787759386160934,1.4797857158394014,0.9438227721699599,1.647281933805261,0.3083547367615745,1.5429691555972118,0.941562081130898,1.6448730551190585
BT2,19A,75,5,20,0.7,True,True,0.0010000000000000002,11.49809324519983,0.3136595611661335,1.5215957749284077,1.0179058814376651,611.6280074502021,0.31385504793060426,1.5951101915793175,1.0139897506078497,611.7902234275758
BT2,19A,76,5,20,0.6,True,False,0.003083374505629593,8.555476627282072,0.3105920916219229,1.513313500182633,0.9629310706750166,4.420597071490805,0.3109601676534558,1.5607323461144216,0.9611247222625855,4.420588170638542
BT2,19A,77,5,20,0.6,True,False,0.0032305192368449736,7.214132091034593,0.3101053438332823,1.5433225826097363,1.123208483685514,4.663032852518252,0.31032086175122997,1.6265476133399162,1.1185360846843884,4.648805646068777
BT2,19A,78,5,20,0.7666666666666667,True,True,0.0010000000035292331,11.247564633282849,0.31367956211850345,1.5332574891160875,1.0399059936966086,625.1153246672028,0.3139013858289442,1.605149109742356,1.0360950722942732,625.7298027467658
BT2,19A,79,5,20,0.7666666666666667,True,False,0.002524444748729937,8.398986141088063,0.3113236627743564,1.5216627212584097,1.0427543214347907,7.823533334418457,0.31164750316460405,1.588920283002384,1.0395219196762304,7.8164698806223365
BT2,19A,80,5,20,0.4666666666666667,True,False,0.001236358028465096,9.403215553414013,0.31308263847535583,1.5512861113296117,1.16149997668201,169.15341261422606,0.3129981954408331,1.6575958934755854,1.1537796026895837,167.8354540882752
BT2,19A,81,5,20,0.7666666666666667,True,False,0.005298807697669374,6.807872854683973,0.307854155895175,1.512612417664654,1.0272126831751047,1.9682087149754894,0.30821825152526017,1.5755699147668063,1.0245490893474272,1.9647638794033446
BT2,19A,82,5,20,0.5666666666666667,True,False,0.0038898908661214875,7.950401948367387,0.30959229834561564,1.5168554405133678,0.965076300241274,2.838870624307513,0.309914169715823,1.5600734763611948,0.9634116076433766,2.8373217686932044
BT2,19A,83,5,20,0.6333333333333333,True,False,0.0042856267603954045,7.562983508895249,0.30917598112851585,1.5122369406787095,0.9855510561724083,2.490109114762574,0.30945802664956523,1.576991577487163,0.9826788538610628,2.4851671717193313
BT2,19A,84,5,20,0.7333333333333333,True,False,0.00593820751639201,6.838776238467235,0.30743267575340794,1.5016354992997636,0.9896867823110173,1.6824937801635795,0.3078251388084634,1.5651382004137486,0.9871940004858295,1.6795129238993618
BT2,19A,85,5,20,0.7,True,False,0.0060211572185389335,6.456414553297464,0.3068461602905764,1.5290716530129274,1.0419241701231117,1.7462494715639318,0.30726584054347617,1.571106844373016,1.0404257761807947,1.745050174853481
BT2,19A,86,5,20,0.4666666666666667,True,True,0.0010000000000000002,11.14089886628364,0.3138179531065936,1.5052692554742506,1.0521209715382316,634.2129900974082,0.31403591783877804,1.6119130414249212,1.046034333861923,633.4755587997012
BT2,19A,87,5,20,0.7,True,False,0.0010881477392088806,10.995928422391462,0.3134910186375817,1.538680123116934,1.0352881390064608,340.89720974732205,0.3137297722760761,1.612975597766817,1.0313950688946012,341.16307322555855
BT2,19A,88,5,20,0.7,True,False,0.007208540242262535,6.44612551662333,0.30619676427423403,1.504340076107646,0.9924026566580446,1.428406417056732,0.30664725413614435,1.5652892483912335,0.9902156575030898,1.4261069832005702
BT2,19A,89,5,20,0.43333333333333335,True,False,0.0047954959614076335,7.765947093543222,0.3087681717041709,1.4881008196697234,0.9293516217130785,2.0109047403945968,0.3092367416887171,1.5543667429648473,0.926901809880642,2.0081213531221924
BT2,19A,90,5,20,0.6666666666666666,True,False,0.007892869125778247,6.304794869928587,0.30552308762054564,1.5148338739613678,0.9882429743541464,1.3348167615163091,0.30582177352097073,1.5558882369772242,0.9868136455202867,1.333327212964141
BT2,19A,91,5,20,0.6,True,True,0.0010000000000000022,10.477002549965132,0.31353460294300967,1.532827586263756,1.1159000553315708,668.817095310282,0.3135192661920927,1.639038787437921,1.1086450817326559,664.389487272746
BT2,19A,92,5,20,0.5666666666666667,True,False,0.0011389737090667532,11.546066338771457,0.313548557508363,1.504188431740106,0.9743468329861182,237.45833213293744,0.31391796180477444,1.577009754085572,0.9711580006510867,238.24913566783093
BT2,19A,93,5,20,0.7333333333333333,True,True,0.0010000000000000002,11.400713620133411,0.31364769475079046,1.5311198293607107,1.0259656149600684,616.3323927637176,0.3138555365767404,1.6079421479641136,1.021852871771673,616.5549778731593
BT2,19A,94,5,20,0.6333333333333333,True,False,0.0012565260269235688,10.729364753664317,0.3133838963041226,1.5041183448431734,1.016670071368013,135.27987831827483,0.31362685384229316,1.6020895511103286,1.0114115204980219,135.11473566917093
BT2,19A,95,5,20,0.6333333333333333,True,False,0.0040962875278832515,7.933581593057413,0.30934682703953115,1.5152001823561267,0.9521834792688966,2.576700129968718,0.30981450372381014,1.5607043613755651,0.9506795212745242,2.5766596422893144
BT2,19A,96,5,20,0.5333333333333333,True,False,0.004665931132726354,6.610858133666781,0.30819920550424157,1.5268253830350573,1.0972286458085478,2.456516854434254,0.3085163907659877,1.5895802376801824,1.0942499388483542,2.4520781289119435
BT2,19A,97,5,20,0.6,True,False,0.0023032010448423776,8.693509205332276,0.3116286330739176,1.5123666577990431,1.0370359025147118,10.141928204007439,0.31200440439580573,1.5774889343005956,1.0340677366120665,10.141793295670215
BT2,19A,98,5,20,0.6333333333333333,True,False,0.0037198225010102496,7.805263833219137,0.30979956349900395,1.51215010995706,0.9967167554022417,3.1648685719046052,0.31011424928465936,1.577830720852801,0.9937712263088445,3.1595126110244927
BT2,19A,99,5,20,0.7,True,False,0.008065938088100041,5.676634939310824,0.3047982751420338,1.5312574084846018,1.0894265160671528,1.450317887690377,0.3052478324555566,1.5697103241000228,1.0881684468750217,1.4493025428600637
BT2,19A,100,5,20,0.6666666666666666,True,False,0.002104998684784886,9.6475243671779,0.3118831143596882,1.508880078016136,0.9611340997980534,12.529231735936904,0.31219021376327044,1.5836464150200156,0.957685251497467,12.51739967081409
BT2,19A,101,5,20,0.7,True,True,0.0010000000000000002,12.047902409676835,0.3135970752772198,1.514127576737926,0.9717013096314945,583.1137575619193,0.3138052886082302,1.593839007919204,0.9676368374380275,583.2298157301274
BT2,19A,102,5,20,0.6333333333333333,True,False,0.001680155230083075,9.059079344397324,0.3124175824102042,1.5476370541694688,1.0954090447792368,33.64595249013908,0.31270216302324644,1.6188833666731652,1.09162852003886,33.638637666583485
BT2,19A,103,5,20,0.5666666666666667,True,False,0.005536904595360798,7.196280834339387,0.30797716537506253,1.5018522229921138,0.9602726219663441,1.7541939444812469,0.3083267075926957,1.5628778236619865,0.9578745026144043,1.7511354481954737
BT2,19A,104,5,20,0.6666666666666666,True,False,0.0027874490435552506,8.232640071697862,0.31092918065601716,1.508243066009178,1.03243681777388,5.98695466925463,0.3112462838788201,1.5897309260393486,1.0284074888406032,5.975036073687587
BT2,19A,105,5,20,0.5333333333333333,True,False,0.0017002278656920642,9.175060524453425,0.31267833631446035,1.5299775081581144,1.0795194968893742,31.61980120643301,0.31300701148435395,1.6128177395649466,1.0751826472044312,31.60918241719455
BT2,19A,106,5,20,0.6333333333333333,True,False,0.002309534037938155,8.874829543949941,0.31165578618627315,1.5042949748068115,1.0155416868716522,9.851743337189594,0.31199493436028813,1.5869567721931321,1.011523781909472,9.838359538182587
BT2,19A,107,5,20,0.5333333333333333,True,False,0.003510376467799744,7.471452793074049,0.30959402888955684,1.5420677796132487,1.0571114883396047,3.7226734218565096,0.3098162797312627,1.5915519139817118,1.0547134366046063,3.7178504036240065
BT2,19A,108,5,20,0.8,True,True,0.0010000000000000009,11.462360481407783,0.31376197633332775,1.5177888624612061,1.0216510766325793,615.1574018459874,0.314033457163182,1.6078943750756807,1.0169393712334758,615.8203243634703
BT2,19A,109,5,20,0.7666666666666667,True,True,0.0010000000000000005,11.020936240270517,0.3135479969654561,1.5280755024488302,1.0611780936405262,636.1875925364374,0.3136735303149446,1.6202535408798293,1.055657155144239,634.606229576543
BT2,19A,110,5,20,0.7,True,False,0.003820502335568178,7.677025581880773,0.3096131262569931,1.5100608739886312,1.0051669269148662,3.0470175818520513,0.3100112497660479,1.5768712356254624,1.002299464867617,3.0429423513106326
BT2,19A,111,5,20,0.6333333333333333,True,True,0.0010000000000000002,11.379348125228221,0.31350982360355295,1.5231110679680764,1.0279398437206977,615.7758527183253,0.313553842021725,1.6178275397279827,1.022166762768869,612.9730581041596
BT2,19A,112,5,20,0.7333333333333333,True,False,0.0037199584262184154,7.349799608009296,0.3093695158329007,1.5283678886469,1.0566843922950462,3.349781978426036,0.3096425104390165,1.5967541735525255,1.0533244771880168,3.3428542720708196
BT2,19A,113,5,20,0.7,True,False,0.002717038959328792,8.400156820820436,0.311049367539916,1.516432182048707,1.0194535196800079,6.301527277987524,0.3112856927707775,1.59899420112212,1.015225984086892,6.284891763401096
BT2,19A,114,5,20,0.7333333333333333,True,False,0.0071568336989414295,6.434672656869482,0.3062988221920813,1.5031967422926322,0.9963427579947756,1.441948087676434,0.30668080197402975,1.5629803245126568,0.994110858912218,1.4394660020731782
BT2,19A,115,5,20,0.6,True,False,0.0043026983508742565,6.617065628549206,0.30849603568203915,1.546221618739654,1.1217851750873304,2.8123314334426404,0.3087683011281188,1.6106360615559623,1.1185187749312964,2.806658930275614
BT2,19A,116,5,20,0.5,True,False,0.006910237542501432,5.671962416415553,0.30561508065841797,1.550358711525504,1.1379857893123975,1.6903717792805923,0.3060171129245938,1.5834591576108243,1.1368334350222369,1.6895940235210718
BT2,19A,117,5,20,0.6333333333333333,True,True,0.0010000000000044665,11.279676933986176,0.31364039283571593,1.542625385698665,1.0362235808571632,622.4150614157261,0.3138452301768249,1.61326276005441,1.032448917719577,622.8234429855348
BT2,19A,118,5,20,0.7333333333333333,True,False,0.0013989798671748999,10.084618444053607,0.3129106008017929,1.5361899708537303,1.0430076986462327,76.3670399722199,0.3130200913659968,1.610418278431631,1.0387026533681687,76.17606071764358
BT2,19A,119,5,20,0.8666666666666667,True,False,0.002391049370769528,8.630810919670918,0.31146370797314954,1.5244726507881259,1.031685509619524,9.022956466647118,0.3117464549538874,1.5908048502156216,1.0284384694696989,9.013230837836709
BT2,19A,120,5,20,0.5,True,False,0.008694357101751196,5.7663349257040375,0.3045000320001096,1.5273723087745876,1.050655559063808,1.3376341255561655,0.30497832409813413,1.5607823857751424,1.049722520332255,1.3369884427602245
