scheme,sample_subset,metric,n_valid,point_estimate,mean,median,mad,std,cv_abs,q02p5,q16,q84,q97p5,median_bias,probability_positive
IID,interior_only,beta_adjusted_at_19A,120,8.003784490406185,7.985019191627341,7.983267046546514,0.09495413331060121,0.13596397328160054,0.01702738215384191,7.7333537195993864,7.8503420960830805,8.12445129005409,8.217421882371939,-0.020517443859670692,1.0
IID,interior_only,Vcem_fraction,120,0.012546045825196089,0.014813406026543113,0.01268183671411717,0.005104273525897847,0.008147641127425921,0.5500180790850349,0.004635427493772327,0.007006532710229149,0.022816516087023786,0.032074105452264655,0.00013579088892108106,1.0
IID,interior_only,Cn,120,5.436001877454284,5.501788743397966,5.3576333445000035,0.49122420045145443,0.7607747739306359,0.13827771465117597,4.459430618389686,4.7789886176279435,6.248818409884474,7.068797052433148,-0.07836853295428092,1.0
MBB_12m,all_success,A_raw,120,0.3026134543411656,0.302421775098707,0.30340029772455274,0.0032444523962380234,0.00518799765992646,0.01715484163874495,0.288121768728035,0.2977859477390283,0.30751030356505005,0.309394502697714,0.0007868433833871369,1.0
MBB_12m,all_success,Gamma_raw,120,1.4911805471801822,1.4895348444472716,1.4912097206162582,0.01144689035705615,0.019845079031937177,0.01332300422908279,1.435318944597756,1.4737625983459899,1.5097579357172861,1.5210402617215069,2.917343607600209e-05,1.0
MBB_12m,all_success,A_adjusted,120,0.3028371625535019,0.30260540569185773,0.30364655220892245,0.003472511720957,0.005376912090952437,0.01776872451653336,0.2877207533752977,0.297922008637129,0.3078476865028873,0.30978377526147244,0.0008093896554205449,1.0
MBB_12m,all_success,Gamma_adjusted,120,1.61812043572011,1.61537253553636,1.6195646089204168,0.01830661319119531,0.028006111971245397,0.017337246582532984,1.5367671234546236,1.5927023620449574,1.641655553747924,1.6548850093062135,0.0014441732003067642,1.0
MBB_12m,all_success,beta_raw,120,20.271560299724396,27.227010806487897,23.100675868450182,12.297290977250569,19.35990669690905,0.7110551663018327,0.880061640427256,9.674052645106995,46.912926403494225,68.6001493389912,2.8291155687257863,1.0
MBB_12m,all_success,beta_adjusted,120,19.961765533133907,26.929518993932845,22.817872205882587,12.298237490185079,19.377779933348986,0.71957393437717,0.5831380065044547,9.369239751765285,46.63174279655086,68.36769106852036,2.8561066727486804,1.0
MBB_12m,all_success,beta_raw_at_BT2,120,107.92660145468805,107.86000424150238,108.18094365149383,1.1668743933682038,1.874166634876864,0.017375918423668316,102.73506618175595,106.16277184880488,109.686424746043,110.4247359203328,0.25434219680577996,1.0
MBB_12m,all_success,beta_raw_at_pooled,120,20.271560299724396,20.260529719112412,20.3162402792382,0.24248168014075588,0.37297176104735164,0.01840878625673421,19.27710160240723,19.91287166503302,20.614298589708664,20.765193925750488,0.044679979513805534,1.0
MBB_12m,all_success,beta_raw_at_19A,120,8.332827109206809,8.329416747468949,8.363465461552458,0.11446173865129339,0.17066362547996358,0.0204892648133884,7.905756115030067,8.159576224484528,8.49240265072335,8.565930137485394,0.030638352345649267,1.0
MBB_12m,all_success,beta_adjusted_at_BT2,120,107.68964717904936,107.61103354347365,107.99518040906463,1.252401398070127,1.9191645900727754,0.01783427337213943,102.33787147345116,105.90890872635379,109.52404050161283,110.17117307387586,0.30553323001527133,1.0
MBB_12m,all_success,beta_adjusted_at_pooled,120,19.961765533133907,19.95038522879586,20.023305701893275,0.24052566707909762,0.3625497337727771,0.018172568079010444,18.989612274221653,19.630715015103906,20.31204460050712,20.453548565085864,0.061540168759368186,1.0
MBB_12m,all_success,beta_adjusted_at_19A,120,8.003784490406185,8.001680480357415,8.036886755165453,0.10615229690963268,0.15203616155096403,0.019000528941912082,7.620071399618632,7.861252448206613,8.148414980276737,8.207386732768775,0.03310226475926825,1.0
MBB_12m,all_success,Vcem_fraction,120,0.012546045825196089,0.014898036683936664,0.011268149279612071,0.005100652756792414,0.011614172874507616,0.7795774115008208,0.0042714413921321435,0.006053833500940088,0.021874312329647875,0.05708692745165904,-0.0012778965455840178,1.0
MBB_12m,all_success,Cn,120,5.436001877454284,5.648940275376516,5.572989523371336,0.6273331953341823,0.8420555437141487,0.1490643382059874,4.281072487175386,4.799129293486834,6.516930660010361,7.344013569532486,0.13698764591705181,1.0
MBB_12m,interior_only,A_raw,118,0.3026134543411656,0.3026784528075372,0.3034880958620064,0.0032396422571151773,0.004835993905375193,0.015977331258694633,0.29074377816989017,0.29782580847160856,0.3075324174446884,0.309411031969934,0.0008746415208408242,1.0
MBB_12m,interior_only,Gamma_raw,118,1.4911805471801822,1.4903492700369458,1.4916554094443888,0.011290594000724075,0.018944214073604453,0.012711257994667803,1.4427920988484364,1.475313272800833,1.509829637671509,1.5211259158606512,0.00047486226420656585,1.0
MBB_12m,interior_only,A_adjusted,118,0.3028371625535019,0.3028732202026645,0.30373299725693503,0.0033860666729444155,0.0050062891024968605,0.01652932239815377,0.29087788216366267,0.29805308324190594,0.3079033508876105,0.3098066893268104,0.0008958347034331293,1.0
MBB_12m,interior_only,Gamma_adjusted,118,1.61812043572011,1.6167901197292318,1.620097814096791,0.018155349914836583,0.02598044746811615,0.016069152792984143,1.556189876827872,1.5943719456939651,1.6417268947701817,1.6549770853907209,0.001977378376680994,1.0
