scheme,block_length_samples,block_length_m,replicate,unique_fraction_19A,unique_fraction_BT2,bootstrap_success,hierarchy_evaluated,pooled_fit_nfev,pooled_fit_bound_hit,Vcem_fraction,Cn,A_raw,Gamma_raw,A_adjusted,Gamma_adjusted,beta_raw,beta_adjusted,beta_raw_at_BT2,beta_adjusted_at_BT2,beta_raw_at_pooled,beta_adjusted_at_pooled,beta_raw_at_19A,beta_adjusted_at_19A,hierarchy_separate_objective,hierarchy_qstar_objective,hierarchy_Cn_objective,hierarchy_qstar_delta,hierarchy_Cn_delta,hierarchy_delta_Cn_minus_qstar,hierarchy_qstar_success,hierarchy_Cn_success,hierarchy_qstar_bound_hit,hierarchy_Cn_bound_hit
MBB_20m_primary,5,20,188,0.7241379310344828,0.6,True,True,14,False,0.012467577179293086,5.403333930206169,0.30261471173583293,1.4837293061671297,0.30293413683095655,1.6110447189977193,20.443476120500737,20.14056816760733,107.94582065039242,107.74324562950497,20.290891816392925,19.987757086714552,8.352726657695285,8.026575807017933,167.08153990338047,169.0550380034348,167.2973117023539,1.9734981000543144,0.21577179897343512,-1.7577263010808792,True,True,True,False
MBB_20m_primary,5,20,189,0.5517241379310345,0.5666666666666667,True,True,19,False,0.009554149400627682,5.901564288197752,0.30453185009411055,1.4884443261356233,0.3047587567503766,1.6141654858211714,28.062136886221488,27.763892584121137,108.64147567871618,108.40876939636289,20.431530751263544,20.12513640157877,8.418122391869762,8.092456247391237,159.24744699262197,159.3532403093779,160.14229469113457,0.1057933167559213,0.8948476985125922,0.7890543817566709,True,True,True,False
MBB_20m_primary,5,20,190,0.7586206896551724,0.6,True,True,21,False,0.006409161334351228,6.239905958854861,0.30686845981014615,1.5179180049988579,0.30715882354502194,1.6503940573689047,44.02307033927567,43.731791650833365,109.42961847927613,109.20332872506322,20.541703326561006,20.222932858649607,8.434623381314033,8.093544049635387,157.57747414714686,158.27125741051776,157.70045419537587,0.6937832633709036,0.12298004822901021,-0.5708032151418934,True,True,True,False
MBB_20m_primary,5,20,191,0.7241379310344828,0.7,True,True,20,False,0.006343012914789209,6.428914013772807,0.3071451076256318,1.5054923086500913,0.30752448536492977,1.6484527954217698,44.598213099918034,44.29486339783026,109.56299190644084,109.34316305867499,20.595824048745392,20.257088745263346,8.478971793322465,8.113583825722579,173.3969291936196,176.38221620504115,173.7119218005541,2.9852870114215477,0.3149926069345099,-2.670294404487038,True,True,True,False
MBB_20m_primary,5,20,192,0.6551724137931034,0.4,True,True,19,False,0.01599307848607716,5.542293903656535,0.30099152102838794,1.473732139244826,0.301139582626021,1.5827142188011674,14.982336605695256,14.707792077075183,107.37194290434016,107.15227184229178,20.1873153540703,19.917839309362336,8.313353989712647,8.029070935814953,147.53112554146105,147.77539905149598,148.01376048612755,0.2442735100349296,0.4826349446665006,0.238361434631571,True,True,False,False
MBB_20m_primary,5,20,193,0.6896551724137931,0.5666666666666667,True,True,22,False,0.006198736475355122,6.64906442016478,0.3075427426300294,1.4895851300595555,0.30791934102592416,1.6305437765699717,45.8311982910757,45.534008737584436,109.74977891659266,109.5339630813469,20.66857376082113,20.334783579241257,8.53751371772212,8.177345184723471,138.14202201747835,138.38169521442663,138.55918164974352,0.23967319694827438,0.41715963226516806,0.17748643531689368,True,True,False,False
MBB_20m_primary,5,20,194,0.6551724137931034,0.7333333333333333,True,True,17,False,0.017136208952085848,5.104115503137514,0.2998746827717625,1.4940015953604229,0.3002329232394104,1.610422344753025,13.597301107066937,13.314127808361567,106.90875271109964,106.74792498681991,20.045981720065182,19.774059425301246,8.21394740229869,7.918395796350924,164.4614728477818,170.45987683740367,164.46950557507256,5.998403989621863,0.008032727290753883,-5.990371262331109,True,True,True,False
MBB_20m_primary,5,20,195,0.6206896551724138,0.6333333333333333,True,True,30,False,0.005523608529224487,6.922512370629751,0.30809701354355307,1.5017915835306983,0.308607468520302,1.6397942734025293,51.971162483660265,51.71373815887485,109.92360921895569,109.76463366170522,20.68124842479617,20.365756649580806,8.527536483387781,8.180684882092322,177.01566461032922,177.08845955870396,177.0285511339754,0.07279494837473521,0.012886523646187698,-0.059908424728547516,True,True,False,False
MBB_20m_primary,5,20,196,0.7241379310344828,0.8,True,True,16,False,0.010142002764130386,5.604256450590718,0.3039662541107873,1.4940447686275884,0.3043384836149255,1.6192207057933723,26.138749129651348,25.85437005462723,108.41864497942757,108.2409426789705,20.371994665790552,20.078590668516433,8.380205580489243,8.061900963726968,157.88608553661618,159.2699846712525,158.11186822258037,1.383899134636323,0.22578268596419093,-1.158116448672132,True,True,False,False
MBB_20m_primary,5,20,197,0.5862068965517241,0.4666666666666667,True,True,24,False,0.006457231906840316,6.143112195957108,0.30650246417691246,1.5258907452127835,0.3071760614633741,1.6317173271947707,43.58922244557604,43.424631721428966,109.27447941409332,109.25670068509258,20.49195387789895,20.272510572166723,8.398503538440497,8.143995567554212,159.1314029186517,159.13730608558626,159.21179513201142,0.005903166934558612,0.08039221335971547,0.07448904642515686,True,True,False,False
