train,test,adjustment,Vcem_fraction,Vcem_percent,lnCn_profile,Cn_profile,profile_objective,lnCn_train_qstar,error_train_qstar,lnCn_test_oracle_qstar,error_test_oracle_qstar,lnCn_pooled_qstar,error_pooled_qstar,lnCn_train_local_exponential,error_train_local_exponential,lnCn_constant_Cn,error_constant_Cn
19A,BT2,raw,0.0305,3.05,1.4897196079940713,4.435851567295801,0.02110601855469555,1.5008183950985408,0.011098787104469432,1.4730459038458183,-0.016673704148252977,1.4908701697457019,0.00115056175163053,1.8870118134473903,0.397292205453319,2.1153340630480177,0.6256144550539464
19A,BT2,raw,0.032235294117647056,3.2235294117647055,1.4805512197325694,4.395367826768149,0.02399208567661618,1.491214372852106,0.010663153119536473,1.4630177870865777,-0.01753343264599172,1.481144548513636,0.0005933287810666599,1.8727548418312765,0.39220362209870707,2.1153340630480177,0.6347828433154483
19A,BT2,raw,0.03397058823529412,3.397058823529412,1.4722921624305443,4.359215728648797,0.02710681487708871,1.4825060532832848,0.010213890852740493,1.4539262097634835,-0.01836595266706076,1.4723303431815522,3.818075100792129e-05,1.8584978702151624,0.38620570778461816,2.1153340630480177,0.6430419006174735
19A,BT2,raw,0.03570588235294118,3.570588235294118,1.4648536691705136,4.32691003363874,0.03045793240241057,1.4746076888107658,0.009754019640252132,1.4456815214261578,-0.019172147744355827,1.464340324116058,-0.0005133450544556606,1.8442408985990486,0.379387229428535,2.1153340630480177,0.6504803938775041
19A,BT2,raw,0.037441176470588235,3.7441176470588236,1.458159726212248,4.298042670721129,0.034053289036260155,1.4674457953977238,0.009286069185475698,1.4382068934463483,-0.019952832765899764,1.4570997375056465,-0.0010599887066016223,1.8299839269829348,0.3718242007706867,2.1153340630480177,0.6571743368357696
19A,BT2,raw,0.0391764705882353,3.9176470588235297,1.4521447568959676,4.272267671562477,0.03790087496187397,1.4609569293050235,0.008812172409055963,1.4314359945631772,-0.020708762332790398,1.450544043636083,-0.0016007132598845342,1.815726955366821,0.3635821984708534,2.1153340630480177,0.6631893061520502
19A,BT2,raw,0.040911764705882356,4.091176470588236,1.4467518032468432,4.249289545708119,0.04200883345665386,1.455085946092836,0.008334142845992876,1.425311170630043,-0.02144063261680018,1.4446171457606283,-0.002134657486214886,1.801469983750707,0.35471818050386394,2.1153340630480177,0.6685822598011746
19A,BT2,raw,0.04264705882352941,4.264705882352941,1.4419310866639103,4.228854221158626,0.046385473669492625,1.4497846215516463,0.007853534887735991,1.419782002766906,-0.02214908389700443,1.439269987163689,-0.00266109950022142,1.7872130121345933,0.3452819254706829,2.1153340630480177,0.6734029763841074
19A,BT2,raw,0.04438235294117647,4.438235294117647,1.4376388566993814,4.21074190527471,0.051039282684572536,1.4450105478723674,0.007371691172985972,1.414804153281297,-0.022834703418084468,1.434459428227216,-0.0031794284721653465,1.7729560405184794,0.33531718381909803,2.1153340630480177,0.6776952063486363
19A,BT2,raw,0.04611764705882353,4.6117647058823525,1.4338364614316794,4.194761401530603,0.05597893703797023,1.4407262416633095,0.006889780231630116,1.4103384330800295,-0.023498028351649936,1.4301473390104873,-0.003689122421192126,1.7586990689023656,0.3248626074706862,2.1153340630480177,0.6814976016163383
19A,BT2,raw,0.04785294117647059,4.785294117647059,1.430489590172143,4.180745542875735,0.06121331382379828,1.4368984168278196,0.006408826655676547,1.4063500414464676,-0.024139548725675475,1.426299859543844,-0.004189730628298971,1.7444420972862515,0.3139525071141085,2.1153340630480177,0.6848444728758747
19A,BT2,raw,0.04958823529411765,4.958823529411765,1.4275676515590516,4.168547490700958,0.06675150150297528,1.4334973870424346,0.005929735483382936,1.4028079413180876,-0.024759710240964017,1.4228867919660078,-0.0046808595930438734,1.7301851256701377,0.3026174741110861,2.1153340630480177,0.6877664114889661
19A,BT2,raw,0.051323529411764705,5.13235294117647,1.4250432590136057,4.158037711475441,0.07260281050900924,1.4304965710718593,0.005453312058253612,1.3996843420822644,-0.02535891693134129,1.4198810972780522,-0.0051621617355535054,1.7159281540540239,0.29088489504041815,2.1153340630480177,0.690290804034412
19A,BT2,raw,0.05305882352941177,5.305882352941177,1.42289180207095,4.149101488769428,0.07877678373030923,1.4278720803913352,0.0049802783203851675,1.3969542684263108,-0.025937533644639243,1.4172584758293048,-0.005633326241645253,1.7016711824379098,0.2787793803669598,2.1153340630480177,0.6924422609770677
