nuisance,scientific_group,meaning,prior_sd_multiplier,physical_prior_sd,unit,one_sigma_multiplicative_factor,one_sigma_percentage_points,static_lambda_min,static_lambda_max,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg,sd_Vcem_fraction,sd_Vcem_percentage_points,sd_lnCn,multiplicative_Cn_one_sigma,Vcem_lnCn_correlation,target_aligned_discrepancy_log_rms,raw_alignment_rms_per_scaled_parameter,aligned_1pct_lambda_min,aligned_1pct_lambda_max,aligned_1pct_lambda_min_gain,aligned_1pct_spectral_ratio,aligned_1pct_Vcem_lnCn_correlation,aligned_1pct_sd_Vcem_percentage_points,aligned_1pct_sd_lnCn,aligned_1pct_raw_alignment_rms_per_scaled_parameter
log_cement_mod_scale,solid_composition_moduli,multiplicative cement-modulus factor,0.25,0.05,log ratio,1.0512710963760241,,0.0034985090064256763,8.9375203878137,0.011724221168569748,18.181782363883407,0.0006448334345844407,39.38004664663857,3.3512050839474727,1.8306296960192339,6.81742573434015,0.2153488741739732,0.21534887417228074,0.07649582647343538,7.6495826473435375,1.540666740344384,4.667701378547025,-0.9984789987657373,0.0,0.0,0.004223378284440749,17.646827880717307,1.2071937721708625,0.00023932790147829542,-0.9994384830417468,12.807384731601982,2.5607195723585026,0.0002853793780730496
log_cement_mod_scale,solid_composition_moduli,multiplicative cement-modulus factor,0.5,0.1,log ratio,1.1051709180756477,,0.003498506245912969,8.78531795310109,0.011724162486461243,18.033267271022922,0.0006501407820478779,39.21898008194377,3.3511909547560945,1.8306258369082675,6.878854298269101,0.2149206968592593,0.2149206968592593,0.0764970761678594,7.649707616785941,1.5406671313511884,4.667703203650382,-0.9984665060026622,0.0,0.0,0.004223168849395442,17.508484676006585,1.2071348605791514,0.0002412069877859174,-0.9994340756011441,12.807723268790763,2.5607846776252887,0.0002853319800097313
log_cement_mod_scale,solid_composition_moduli,multiplicative cement-modulus factor,1.0,0.2,log ratio,1.2214027581601699,,0.003498495204923069,8.225104925833136,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
log_cement_mod_scale,solid_composition_moduli,multiplicative cement-modulus factor,2.0,0.4,log ratio,1.4918246976412703,,0.0034984510563857985,6.554161524787789,0.01172318525553706,15.874145585135093,0.0007385081101004211,36.79784328599849,3.350964488738088,1.8305639810555894,8.116018798693146,0.20734744688327789,0.20734744688327789,0.0765178842453057,7.6517884245305705,1.5406736424704146,4.667733595721397,-0.9982585635602772,0.0,0.0,0.0042190092507192745,15.487982754236569,1.205964920680604,0.00027240534275292953,-0.9993608953038045,12.814260464549365,2.562084441679181,0.00028438562221548975
log_cement_mod_scale,solid_composition_moduli,multiplicative cement-modulus factor,4.0,0.8,log ratio,2.225540928492468,,0.003498274709550775,3.6190257679668383,0.01172144438514966,13.084113573757302,0.0008958531519215229,33.41039321510567,3.350635772870693,1.8304741934457018,12.113784705425031,0.19010831596760486,0.1901083159656877,0.07655493787268053,7.655493787268053,1.5406852413781515,4.6677877366467015,-0.997888595009735,0.0,0.0,0.004205963690188774,12.854286194268306,1.2022965717088798,0.0003272032088459492,-0.9992322989019333,12.833461948253275,2.5662146193421917,0.0002813779758235496
phic_pack_shift,packing_reference,packing critical-porosity reference shift,0.25,0.005,absolute fraction,,0.5,0.00356517597312056,9.67552473510327,0.011777271832240643,18.64735736195721,0.0006315785987063055,39.79113227102704,3.303419500477595,1.8175311552976456,6.366584307141796,0.2514846086969098,0.2514846086969098,0.07637520340825703,7.637520340825703,1.5367202379912006,4.6493165857483945,-0.9985113948873118,0.0,0.0,0.004389544302703552,17.929567342522013,1.2312279494191225,0.0002448215408016705,-0.9994264629472024,12.57978189187525,2.5102678393036535,0.0003083457517094771
phic_pack_shift,packing_reference,packing critical-porosity reference shift,0.5,0.01,absolute fraction,,1.0,0.003551599563322849,9.34016118622283,0.011765463531520748,18.37759826797109,0.0006402068083088895,39.52208572434898,3.312722428795737,1.8200885771840163,6.518076161201954,0.2441467563099921,0.24414675630700647,0.07640316288131371,7.6403162881313715,1.537592247313304,4.653372601337262,-0.9984908322460698,0.0,0.0,0.004354711728072669,17.711582973501432,1.2261268902731912,0.0002458680138634598,-0.9994238356956601,12.626513122547758,2.520599344360057,0.0003035258550602782
phic_pack_shift,packing_reference,packing critical-porosity reference shift,1.0,0.02,absolute fraction,,2.0,0.003498495204923069,8.225104925833136,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
phic_pack_shift,packing_reference,packing critical-porosity reference shift,2.0,0.04,absolute fraction,,4.0,0.0033036340470602443,5.720033983485163,0.011615739838076511,15.52946922556379,0.0007479804795231053,36.56409831417273,3.516049196917811,1.875113115766036,9.545813531310134,0.07926172639254574,0.0792617263879475,0.07676165344466496,7.6761653444664955,1.5487575342621853,4.705619977406478,-0.998233403767097,0.0,0.0,0.0037969446528434148,15.443011302926198,1.1493236232451791,0.00024586815216045047,-0.9994205081537811,13.452489419716308,2.7055759615058426,0.00022658172121846093
phic_pack_shift,packing_reference,packing critical-porosity reference shift,4.0,0.08,absolute fraction,,8.0,0.0027280759233330176,3.012384982321745,0.011468211109598947,13.472627201694268,0.0008512230716334782,34.27506656237004,4.20377270717147,2.0503103928848114,18.801004140157232,0.3969844513796249,0.3969844513796249,0.07712226772217208,7.712226772217208,1.5599605028545158,4.758633288994692,-0.9979857407527316,0.0,0.0,0.003326968828664345,12.786779476401772,1.2195294127296985,0.0002601881759831961,-0.9993775936372005,14.185077119339084,2.9066997790488296,0.00022850400664360774
