nuisance,scientific_group,meaning,prior_sd_multiplier,physical_prior_sd,unit,one_sigma_multiplicative_factor,one_sigma_percentage_points,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg,sd_Vcem_fraction,sd_Vcem_percentage_points,sd_lnCn,multiplicative_Cn_one_sigma,Vcem_lnCn_correlation,target_aligned_discrepancy_log_rms,raw_alignment_rms_per_scaled_parameter,aligned_1pct_lambda_min,aligned_1pct_lambda_max,aligned_1pct_lambda_min_gain,aligned_1pct_spectral_ratio,aligned_1pct_Vcem_lnCn_correlation,aligned_1pct_sd_Vcem_percentage_points,aligned_1pct_sd_lnCn,aligned_1pct_raw_alignment_rms_per_scaled_parameter
log_stress_shear_scale,stress_calibration,multiplicative shear stress-response amplitude,4.0,1.0,log ratio,2.718281828459045,,0.009944114353916067,13.14632055408964,0.000756418064887562,36.359596408585936,2.842397594235015,1.6859411597784233,4.543050848946988,0.11915222449351148,0.11915222449045265,0.0837998335777206,8.37998335777206,1.6664614445163406,5.2934036153210835,-0.9982333556658426,0.0,0.0,0.004210153518682258,13.046861038308736,1.203418404792365,0.00032269474675327884,-0.9992435654859765,12.837606504579238,2.563992136901715,0.0002851424639912598
stiff_cement_volume_shift,scenario_endpoint,stiff-end cement-volume shift,0.25,0.00375,absolute fraction,,0.375,0.011869596364951107,17.78594593082219,0.0006673581720712232,38.709762657811105,3.3927719404183425,1.8419478658252906,7.336521397844214,0.19184533245069427,0.19184533245259405,0.07607359017131538,7.607359017131538,1.5308068187115424,4.621904357293509,-0.9984269855785323,0.0,0.0,0.004223515512018938,17.37845081963389,1.2072377592730794,0.0002430317613378564,-0.9994298313503707,12.80794147384167,2.5606168150627773,0.0002851424639912598
stiff_cement_volume_shift,scenario_endpoint,stiff-end cement-volume shift,0.5,0.0075,absolute fraction,,0.75,0.011839453959022972,17.72345449508183,0.0006680105146718639,38.69085712066951,3.384156120140607,1.839607599500667,7.292178949740346,0.19627732722091312,0.19627732722091312,0.07616154570409986,7.616154570409986,1.532832893453597,4.631278173791826,-0.9984252434151418,0.0,0.0,0.004223273800830096,17.29971939086461,1.2071686692287364,0.0002441238326131615,-0.9994272626423022,12.808170962887832,2.5607042942364604,0.0002851424639912598
stiff_cement_volume_shift,scenario_endpoint,stiff-end cement-volume shift,1.0,0.015,absolute fraction,,1.5,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
stiff_cement_volume_shift,scenario_endpoint,stiff-end cement-volume shift,2.0,0.03,absolute fraction,,3.0,0.011330190213895364,16.730378105447272,0.000677222603248061,38.42680509338243,3.2385896078838594,1.7996081817673144,6.587493917323014,0.2711547022046884,0.2711547022046884,0.07770178527032219,7.770178527032219,1.568259035115405,4.798287268207924,-0.9984000016310058,0.0,0.0,0.004218936412556662,15.999086455255153,1.2059288824005792,0.00026369858206315807,-0.999381209726644,12.812292713011054,2.562275227166584,0.0002851424639912598
stiff_cement_volume_shift,scenario_endpoint,stiff-end cement-volume shift,4.0,0.06,absolute fraction,,6.0,0.010387493437185924,15.158446937625733,0.0006852610613691878,38.20075731474571,2.9691318206092387,1.7231168911624186,5.471957812010969,0.40974778592694,0.40974778592694,0.08085491591455651,8.085491591455652,1.6404871518422137,5.157681474363302,-0.9983742952373622,0.0,0.0,0.004209401736896989,13.730067849277066,1.203203517607666,0.00030658273382958034,-0.9992802489073151,12.821377961228633,2.5657362957888132,0.0002851424639912598
ln_soft_cn_offset,fabric_state,compliant-contact coordination-number offset,0.25,0.05,log ratio,1.0512710963760241,,0.011870944947835582,18.750267965483808,0.0006331080158261237,39.743040922084006,3.3931574155456423,1.8420525007571424,7.735173151496763,0.2563919853523061,0.2563919853537277,0.07593711605241359,7.593711605241358,1.5318482649713197,4.626720329652373,-0.9985047808474754,0.0,0.0,0.004223085233427071,17.968245823286573,1.2071147696542106,0.0002350304684697722,-0.9994485155923436,12.806793303077743,2.560892563165626,0.0002851424639912598
ln_soft_cn_offset,fabric_state,compliant-contact coordination-number offset,0.5,0.1,log ratio,1.1051709180756477,,0.011839740211379013,18.467309011914146,0.0006411188659777463,39.49396359883367,3.3842379417065303,1.839629838230107,7.598415874677334,0.24723682726608928,0.24723682726608928,0.07605617000796912,7.6056170007969115,1.5337065080747019,4.635325893935168,-0.9984862919446577,0.0,0.0,0.004222927570577628,17.75634450895679,1.2070697037500984,0.00023782640444081646,-0.9994419669860616,12.807269117655123,2.5609244905907267,0.0002851424639912598
ln_soft_cn_offset,fabric_state,compliant-contact coordination-number offset,1.0,0.2,log ratio,1.2214027581601699,,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
ln_soft_cn_offset,fabric_state,compliant-contact coordination-number offset,2.0,0.4,log ratio,1.4918246976412703,,0.011369453088761805,15.045949135236654,0.0007556487787224583,36.37809959416727,3.2498123972737636,1.8027236053465776,5.944788846993453,0.10926329499184502,0.10926329499184502,0.07790533981554953,7.790533981554954,1.562652010326749,4.771458437799217,-0.9982234383013988,0.0,0.0,0.004220409132095426,14.94177940104047,1.2063498403989472,0.00028245692958106034,-0.9993374717192008,12.814871632418942,2.56143473073181,0.0002851424639912598
