group,group_label,affected_nuisances,prior_sd_multiplier,pressure_1_mpa,pressure_2_mpa,static_lambda_min,static_lambda_max,static_spectral_ratio,static_weak_direction_scaled_Vcem,static_weak_direction_scaled_lnCn,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg,sd_Vcem_fraction,sd_Vcem_percentage_points,sd_lnCn,multiplicative_Cn_one_sigma,Vcem_lnCn_correlation,target_aligned_discrepancy_log_rms,raw_alignment_rms_per_scaled_parameter,aligned_1pct_lambda_min,aligned_1pct_lambda_max,aligned_1pct_lambda_min_gain,aligned_1pct_spectral_ratio,aligned_1pct_Vcem_lnCn_correlation,aligned_1pct_sd_Vcem_percentage_points,aligned_1pct_sd_lnCn,aligned_1pct_raw_alignment_rms_per_scaled_parameter
solid_composition_moduli,Solid composition/moduli,f_kf_shift;log_clay_mod_scale;log_cement_mod_scale,0.75,5.0,7.5,0.004254993502546434,10.938572436234008,0.00038898983641153873,0.5535468494025867,-0.832818038659388,0.01245948247824824,20.30768545043597,0.0006135353292061532,40.37199512306294,2.928202468650485,1.7111991317933997,5.436268307879757,0.13649929709063832,0.1364992970933084,0.07417190964920406,7.417190964920406,1.4947696863010593,4.458309624813854,-0.9985520981633167,0.0,0.0,0.004842381204770874,20.02324628766335,1.1380466743070026,0.00024183796848937245,-0.9994311756256957,11.93403423532268,2.3938388695577912,0.000253423579004714
solid_composition_moduli,Solid composition/moduli,f_kf_shift;log_clay_mod_scale;log_cement_mod_scale,1.0,5.0,7.5,0.003498495204923069,8.225104925833136,0.00042534353500283154,0.55490471825484,-0.8319139100042243,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
solid_composition_moduli,Solid composition/moduli,f_kf_shift;log_clay_mod_scale;log_cement_mod_scale,1.5,5.0,7.5,0.0026037152797164786,5.486770801913382,0.0004745442034517816,0.5576901706450873,-0.8300491994850989,0.010963619154527926,14.660867374635895,0.0007478151786227593,36.5681392487364,4.2107596172042925,2.0520135519056137,11.251315304216236,0.375872264386429,0.3758722643873986,0.07917833331158594,7.917833331158594,1.592680970169868,4.9169133717790245,-0.9982379776968324,0.0,0.0,0.0036888269558659204,13.714407451375834,1.4167551208854143,0.00026897457793525424,-0.9993719225747568,13.76301459756337,2.7347751961622864,0.00035877306396886325
solid_composition_moduli,Solid composition/moduli,f_kf_shift;log_clay_mod_scale;log_cement_mod_scale,2.0,5.0,7.5,0.00211883897094145,4.222240433145858,0.0005018281181497687,0.5599246741875273,-0.8285435168028241,0.010622775685191321,13.373340970179243,0.0007943247471876091,35.48141681488446,5.0134889110857594,2.2390821581812848,15.879507034185025,0.5122903472676339,0.512290347266211,0.08048079261210705,8.048079261210706,1.6177114858982933,5.041539470295766,-0.9981295146188752,0.0,0.0,0.003555326925495983,12.057963039432819,1.6779599461096693,0.000294853028979198,-0.999313821684097,14.06231995066331,2.7818169925961884,0.00042288944539613623
solid_composition_moduli,Solid composition/moduli,f_kf_shift;log_clay_mod_scale;log_cement_mod_scale,3.0,5.0,7.5,0.0016443309648722648,3.012591402100959,0.0005458194442583619,0.5626739479415869,-0.8266789148803956,0.01034494662592822,12.181530453315254,0.0008492320948976325,34.31522102112152,6.291280068870951,2.5082424262560727,25.439035541242248,0.6870938272216036,0.6870938272226645,0.08159268935068985,8.159268935068985,1.6390161467258662,5.150100076030978,-0.9980012997195862,0.0,0.0,0.0035649131072861273,10.472373663601754,2.1680021744059643,0.0003404111829657585,-0.9992106645223139,14.090096697582762,2.773959719381535,0.0005053218258139053
solid_composition_moduli,Solid composition/moduli,f_kf_shift;log_clay_mod_scale;log_cement_mod_scale,4.0,5.0,7.5,0.0014343053472155587,2.351059943092624,0.0006100675363167684,0.5640896612511308,-0.8257135423799131,0.01023863842558681,11.567337001044596,0.0008851335812782322,33.61209567530184,7.138395213727155,2.671777538218172,35.121275119514685,0.7809639037925944,0.7809639037925944,0.08202779702352825,8.202779702352824,1.6474341044593048,5.1936363871183735,-0.9979171824329096,0.0,0.0,0.0036184816489526206,9.713774462916906,2.522811238190836,0.00037251036276026974,-0.9991376436790441,14.006434019126734,2.7515141836866515,0.0005487938892938691
fluid_properties,Fluid properties,brine_salinity_shift;GOR_shift,0.25,5.0,7.5,0.00354794454173768,8.24378273994658,0.0004303782200063985,0.5548106227851732,-0.8319766660458261,0.011774327241488969,17.501654610131133,0.0006727550910913987,38.55418291703758,3.318633395470789,1.8217116663925685,7.04550050594207,0.2091283422222251,0.2091283422204823,0.07633346448545719,7.633346448545719,1.5374108211645703,4.652528434446868,-0.9984131634241866,0.0,0.0,0.004261218071520911,17.02632360395694,1.2010385228383222,0.0002502723530128723,-0.999412726045956,12.748817942117913,2.5494847447282663,0.00028283439257529674
fluid_properties,Fluid properties,brine_salinity_shift;GOR_shift,0.5,5.0,7.5,0.003534235466449598,8.238114502088447,0.00042901023839297606,0.5548380646400308,-0.8319583655607441,0.01176062201265582,17.49728380026598,0.0006721398673591294,38.57182360777458,3.3276283157415762,1.8241788058580157,7.067692128770865,0.21030134816279128,0.21030134815932516,0.0763793166944868,7.6379316694486805,1.5382934420851135,4.656636666115443,-0.9984146466935836,0.0,0.0,0.004250634563251587,17.01823344624793,1.2027027071633305,0.0002497694356278054,-0.9994139316515336,12.765180683298393,2.5526112253929436,0.00028350600277406493
fluid_properties,Fluid properties,brine_salinity_shift;GOR_shift,0.75,5.0,7.5,0.0035167927735195725,8.231424183762817,0.00042723989130055343,0.5548715412857069,-0.8319360388102105,0.011742906738103187,17.49234166919604,0.0006713170231966375,38.595455423386795,3.339095447000421,1.8273191968018125,7.095807131432537,0.2117654369533615,0.2117654369533615,0.07643852883365354,7.643852883365354,1.5394381139437405,4.6619700389615515,-0.9984166249296018,0.0,0.0,0.004236963422872719,17.0087338571968,1.2047805189932776,0.0002491051631735633,-0.9994155206041031,12.786356608306548,2.556671671379467,0.00028432699871454027
fluid_properties,Fluid properties,brine_salinity_shift;GOR_shift,1.0,5.0,7.5,0.003498495204923069,8.225104925833136,0.00042534353500283154,0.55490471825484,-0.8319139100042243,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
