group,group_label,prior_sd_multiplier,best_pressure_1_mpa,best_pressure_2_mpa,canonical_5_7p5_is_best,second_best_lambda_min,best_minus_second_best_lambda_min,canonical_lambda_min_gain,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg,sd_Vcem_fraction,sd_Vcem_percentage_points,sd_lnCn,multiplicative_Cn_one_sigma,Vcem_lnCn_correlation,target_aligned_discrepancy_log_rms,raw_alignment_rms_per_scaled_parameter,aligned_1pct_lambda_min_gain,aligned_1pct_spectral_ratio,aligned_1pct_Vcem_lnCn_correlation
solid_composition_moduli,Solid composition/moduli,0.75,5.0,7.5,True,0.01165958913353915,0.0007998933447090906,2.928202468650485,0.01245948247824824,20.30768545043597,0.0006135353292061532,40.37199512306294,2.928202468650485,1.7111991317933997,5.436268307879757,0.13649929709063832,0.1364992970933084,0.07417190964920406,7.417190964920406,1.4947696863010593,4.458309624813854,-0.9985520981633167,0.0,0.0,1.1380466743070026,0.00024183796848937245,-0.9994311756256957
solid_composition_moduli,Solid composition/moduli,1.0,5.0,7.5,True,0.010930110570206875,0.0007938279082133626,3.3511375010382625,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,1.2068996463319068,0.0002483749145327763,-0.9994172629111003
solid_composition_moduli,Solid composition/moduli,1.5,5.0,7.5,True,0.010174367887044067,0.0007892512674838592,4.2107596172042925,0.010963619154527926,14.660867374635895,0.0007478151786227593,36.5681392487364,4.2107596172042925,2.0520135519056137,11.251315304216236,0.375872264386429,0.3758722643873986,0.07917833331158594,7.917833331158594,1.592680970169868,4.9169133717790245,-0.9982379776968324,0.0,0.0,1.4167551208854143,0.00026897457793525424,-0.9993719225747568
solid_composition_moduli,Solid composition/moduli,2.0,5.0,7.5,True,0.009834256158196553,0.0007885195269947687,5.0134889110857594,0.010622775685191321,13.373340970179243,0.0007943247471876091,35.48141681488446,5.0134889110857594,2.2390821581812848,15.879507034185025,0.5122903472676339,0.512290347266211,0.08048079261210705,8.048079261210706,1.6177114858982933,5.041539470295766,-0.9981295146188752,0.0,0.0,1.6779599461096693,0.000294853028979198,-0.999313821684097
solid_composition_moduli,Solid composition/moduli,3.0,5.0,7.5,True,0.00955469002287268,0.0007902566030555391,6.291280068870951,0.01034494662592822,12.181530453315254,0.0008492320948976325,34.31522102112152,6.291280068870951,2.5082424262560727,25.439035541242248,0.6870938272216036,0.6870938272226645,0.08159268935068985,8.159268935068985,1.6390161467258662,5.150100076030978,-0.9980012997195862,0.0,0.0,2.1680021744059643,0.0003404111829657585,-0.9992106645223139
solid_composition_moduli,Solid composition/moduli,4.0,5.0,7.5,True,0.009445505854822844,0.0007931325707639658,7.138395213727155,0.01023863842558681,11.567337001044596,0.0008851335812782322,33.61209567530184,7.138395213727155,2.671777538218172,35.121275119514685,0.7809639037925944,0.7809639037925944,0.08202779702352825,8.202779702352824,1.6474341044593048,5.1936363871183735,-0.9979171824329096,0.0,0.0,2.522811238190836,0.00037251036276026974,-0.9991376436790441
fluid_properties,Fluid properties,0.25,5.0,7.5,True,0.010979664986668691,0.0007946622548202775,3.318633395470789,0.011774327241488969,17.501654610131133,0.0006727550910913987,38.55418291703758,3.318633395470789,1.8217116663925685,7.04550050594207,0.2091283422222251,0.2091283422204823,0.07633346448545719,7.633346448545719,1.5374108211645703,4.652528434446868,-0.9984131634241866,0.0,0.0,1.2010385228383222,0.0002502723530128723,-0.999412726045956
fluid_properties,Fluid properties,0.5,5.0,7.5,True,0.010966175817580748,0.0007944461950750714,3.3276283157415762,0.01176062201265582,17.49728380026598,0.0006721398673591294,38.57182360777458,3.3276283157415762,1.8241788058580157,7.067692128770865,0.21030134816279128,0.21030134815932516,0.0763793166944868,7.6379316694486805,1.5382934420851135,4.656636666115443,-0.9984146466935836,0.0,0.0,1.2027027071633305,0.0002497694356278054,-0.9994139316515336
fluid_properties,Fluid properties,0.75,5.0,7.5,True,0.010948751414673996,0.0007941553234291909,3.339095447000421,0.011742906738103187,17.49234166919604,0.0006713170231966375,38.595455423386795,3.339095447000421,1.8273191968018125,7.095807131432537,0.2117654369533615,0.2117654369533615,0.07643852883365354,7.643852883365354,1.5394381139437405,4.6619700389615515,-0.9984166249296018,0.0,0.0,1.2047805189932776,0.0002491051631735633,-0.9994155206041031
fluid_properties,Fluid properties,1.0,5.0,7.5,True,0.010930110570206875,0.0007938279082133626,3.3511375010382625,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,1.2068996463319068,0.0002483749145327763,-0.9994172629111003
