group,group_label,affected_nuisances,prior_sd_multiplier,pressure_1_mpa,pressure_2_mpa,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg,sd_Vcem_fraction,sd_Vcem_percentage_points,sd_lnCn,multiplicative_Cn_one_sigma,Vcem_lnCn_correlation,target_aligned_discrepancy_log_rms,raw_alignment_rms_per_scaled_parameter,aligned_1pct_lambda_min,aligned_1pct_lambda_max,aligned_1pct_lambda_min_gain,aligned_1pct_spectral_ratio,aligned_1pct_Vcem_lnCn_correlation,aligned_1pct_sd_Vcem_percentage_points,aligned_1pct_sd_lnCn,aligned_1pct_raw_alignment_rms_per_scaled_parameter
scenario_endpoint,Scenario endpoint,stiff_cement_volume_shift,1.5,5.0,7.5,0.011547718428019937,17.140597363912647,0.000673705716484082,38.526972577000585,3.3007672589546595,1.8168013812617656,6.878589767290651,0.23917193259977462,0.23917193260282238,0.07703106760034045,7.7031067600340455,1.552844544099631,4.72489124665388,-0.9984098136483497,0.0,0.0,0.004220849805168125,16.547906080015533,1.2064758011468937,0.0002550685134879714,-0.9994015158332217,12.810473586272078,2.5615819553216745,0.0002851424639912598
scenario_endpoint,Scenario endpoint,stiff_cement_volume_shift,2.0,5.0,7.5,0.011330190213895364,16.730378105447272,0.000677222603248061,38.42680509338243,3.2385896078838594,1.7996081817673144,6.587493917323014,0.2711547022046884,0.2711547022046884,0.07770178527032219,7.770178527032219,1.568259035115405,4.798287268207924,-0.9984000016310058,0.0,0.0,0.004218936412556662,15.999086455255153,1.2059288824005792,0.00026369858206315807,-0.999381209726644,12.812292713011054,2.562275227166584,0.0002851424639912598
scenario_endpoint,Scenario endpoint,stiff_cement_volume_shift,3.0,5.0,7.5,0.010846845185756848,15.88568896841748,0.0006828060908986437,38.26936946362322,3.100431628573682,1.7608042561777506,5.988068597723598,0.3422170165576425,0.3422170165576425,0.07926574001326493,7.926574001326493,1.6041315994870995,4.973538703314698,-0.9983833977654467,0.0,0.0,0.00421432155895074,14.81412738118831,1.204609785664523,0.00028447990560026424,-0.9993322967085719,12.816685809899356,2.5639490753894285,0.0002851424639912598
scenario_endpoint,Scenario endpoint,stiff_cement_volume_shift,4.0,5.0,7.5,0.010387493437185924,15.158446937625733,0.0006852610613691878,38.20075731474571,2.9691318206092387,1.7231168911624186,5.471957812010969,0.40974778592694,0.40974778592694,0.08085491591455651,8.085491591455652,1.6404871518422137,5.157681474363302,-0.9983742952373622,0.0,0.0,0.004209401736896989,13.730067849277066,1.203203517607666,0.00030658273382958034,-0.9992802489073151,12.821377961228633,2.5657362957888132,0.0002851424639912598
all_pressure,All pressure nuisances,logP_calibration;log_stress_bulk_scale;log_stress_shear_scale;stiff_cement_volume_shift;ln_soft_cn_offset;ln_stiff_cn_offset;soft_phic_shift,0.25,5.0,7.5,0.01277167869447382,83.94149051066456,0.00015214977261871718,81.07077900852964,3.65062060868386,1.9106597312666271,37.25648948495041,0.4007855272078095,0.4007855272069001,0.07289085514104748,7.289085514104748,1.4791413915515188,4.389175479438442,-0.9996388390273012,0.0,0.0,0.004227756026070395,58.36432555912023,1.208449855846912,7.243733197581257e-05,-0.9998299724670787,12.796306014037231,2.559480233403212,0.0002851424639912598
all_pressure,All pressure nuisances,logP_calibration;log_stress_bulk_scale;log_stress_shear_scale;stiff_cement_volume_shift;ln_soft_cn_offset;ln_stiff_cn_offset;soft_phic_shift,0.5,5.0,7.5,0.012502802444087635,38.80917014125254,0.0003221610356155922,55.71389144488298,3.573765779782616,1.89044063111821,16.862384789398035,0.33948460212283194,0.33948460212283194,0.07380478880958802,7.380478880958802,1.4939651123502582,4.454724027657583,-0.9992368910768623,0.0,0.0,0.004226550848041022,33.766337473504855,1.2081053711588445,0.00012517054452107617,-0.9997062359223436,12.79956399342432,2.5598151607267368,0.0002851424639912598
all_pressure,All pressure nuisances,logP_calibration;log_stress_bulk_scale;log_stress_shear_scale;stiff_cement_volume_shift;ln_soft_cn_offset;ln_stiff_cn_offset;soft_phic_shift,0.75,5.0,7.5,0.012134105048653865,23.721302082421722,0.0005115277823490829,44.21456807791719,3.4683783563798514,1.8623582781999417,10.002845127169332,0.27086660544506586,0.27086660544506586,0.07507002995995657,7.507002995995657,1.5153585518722195,4.5510526227786725,-0.9987911711244405,0.0,0.0,0.00422469542489079,22.372069384664446,1.2075750222397947,0.00018883793681539018,-0.9995568857373897,12.804034671263395,2.560347337239593,0.0002851424639912598
all_pressure,All pressure nuisances,logP_calibration;log_stress_bulk_scale;log_stress_shear_scale;stiff_cement_volume_shift;ln_soft_cn_offset;ln_stiff_cn_offset;soft_phic_shift,1.0,5.0,7.5,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
all_pressure,All pressure nuisances,logP_calibration;log_stress_bulk_scale;log_stress_shear_scale;stiff_cement_volume_shift;ln_soft_cn_offset;ln_stiff_cn_offset;soft_phic_shift,1.5,5.0,7.5,0.010904542092621927,12.638439123741104,0.0008628076604917074,34.04418985741441,3.116923549667039,1.7654811099717376,4.789367295740909,0.14367560330870524,0.14367560330870524,0.0794866349699131,7.948663496991309,1.596289106989503,4.934686312273554,-0.997969787978882,0.0,0.0,0.004216547489180211,12.510773145291935,1.2052460392818896,0.00033703332641492155,-0.9992093965660206,12.819672754190654,2.5628031705807324,0.0002851424639912598
all_pressure,All pressure nuisances,logP_calibration;log_stress_bulk_scale;log_stress_shear_scale;stiff_cement_volume_shift;ln_soft_cn_offset;ln_stiff_cn_offset;soft_phic_shift,2.0,5.0,7.5,0.010166777793089388,10.833049664642985,0.0009384963706269914,32.64252168362452,2.9060430835471025,1.7047120236412667,3.827465951562837,0.1148061738281861,0.1148061738281861,0.08238954318365017,8.238954318365018,1.6526686076870527,5.220893770744059,-0.9977938144580857,0.0,0.0,0.004209885012379289,10.768314741953795,1.2033416557081897,0.0003909511481845348,-0.9990829897707946,12.830552580501081,2.5648643703116956,0.0002851424639912598
