train,test,adjustment,method,method_label,family,n_local_coefficients,Vcem_train,Cn_train,Vcem_test,Cn_test,A_train,Gamma_train,beta_train,method_tangent_at_train,tangent_difference,lnCn_test_predicted,log_coordinate_error,coordinate_level_ratio,absolute_percent_level_error
19A,BT2,adjusted,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,0.024592733574879642,4.7029523059115945,0.002709648210837285,8.292355473009664,0.2969694515434239,1.556283660768415,7.929908349865859,7.929908350407338,5.41478861748601e-10,2.117474439158676,-0.0021403761106584263,0.9978619128609112,0.21380871390888068
19A,BT2,adjusted,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,0.024592733574879642,4.7029523059115945,0.002709648210837285,8.292355473009664,0.2969694515434239,1.556283660768415,7.929908349865859,7.9299083503555154,4.896563154943578e-10,1.7242669198369607,0.39106714321105707,1.4785577851978282,47.855778519782824
19A,BT2,adjusted,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,0.024592733574879642,4.7029523059115945,0.002709648210837285,8.292355473009664,0.2969694515434239,1.556283660768415,7.929908349865859,7.929908351495067,1.6292078797164322e-09,3.8583394236071977,-1.74300536055918,0.1749936904011511,82.50063095988489
19A,BT2,adjusted,quadratic_tangent,second-order local tangent,local Taylor continuation,2,0.024592733574879642,4.7029523059115945,0.002709648210837285,8.292355473009664,0.2969694515434239,1.556283660768415,7.929908349865859,7.929908349881083,1.5224266292079847e-11,1.841932336099162,0.2734017269488558,1.3144281799969864,31.442817999698637
19A,BT2,adjusted,local_linear_tangent,first-order local tangent,local Taylor continuation,1,0.024592733574879642,4.7029523059115945,0.002709648210837285,8.292355473009664,0.2969694515434239,1.556283660768415,7.929908349865859,7.929908349881083,1.5224266292079847e-11,1.721721323055361,0.3936127399926568,1.4823263917785614,48.23263917785614
19A,BT2,adjusted,integrated_local_projection,integrated local projection slope,numerical differential continuation,0,0.024592733574879642,4.7029523059115945,0.002709648210837285,8.292355473009664,0.2969694515434239,1.556283660768415,7.929908349865859,7.929908349865859,0.0,2.133319763435435,-0.017985700387417314,0.9821750769809734,1.7824923019026606
BT2,19A,raw,factored_log_log,log contact + log HS (current),two-coefficient power continuation,2,0.002709648210837285,8.292355473009664,0.024592733574879642,4.7029523059115945,0.31100654545276357,1.5255814032307606,110.93749643225073,110.93749643327334,1.0226131053059362e-09,1.5158011954152482,0.032389266290965946,1.0329195078027003,3.2919507802700254
BT2,19A,raw,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,0.002709648210837285,8.292355473009664,0.024592733574879642,4.7029523059115945,0.31100654545276357,1.5255814032307606,110.93749643225073,110.93749643327334,1.0226131053059362e-09,1.5133983131951,0.03479214851111401,1.0354044760702261,3.540447607022612
BT2,19A,raw,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,0.002709648210837285,8.292355473009664,0.024592733574879642,4.7029523059115945,0.31100654545276357,1.5255814032307606,110.93749643225073,110.93749643327334,1.0226131053059362e-09,1.518296572837777,0.029893888868437024,1.0303451970579283,3.0345197057928264
BT2,19A,raw,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,0.002709648210837285,8.292355473009664,0.024592733574879642,4.7029523059115945,0.31100654545276357,1.5255814032307606,110.93749643225073,110.93749642944745,-2.803275833684893e-09,-0.30991775923192133,1.8581082209381354,6.41159596818552,541.159596818552
BT2,19A,raw,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,0.002709648210837285,8.292355473009664,0.024592733574879642,4.7029523059115945,0.31100654545276357,1.5255814032307606,110.93749643225073,110.93749644027886,8.028138154259068e-09,1.9250276659417556,-0.37683720423554146,0.6860277472173497,31.39722527826503
BT2,19A,raw,quadratic_tangent,second-order local tangent,local Taylor continuation,2,0.002709648210837285,8.292355473009664,0.024592733574879642,4.7029523059115945,0.31100654545276357,1.5255814032307606,110.93749643225073,110.93749643247183,2.2110668851382798e-10,9.832162076367775,-8.28397161466156,0.0002525322449420016,99.97474677550579
BT2,19A,raw,local_linear_tangent,first-order local tangent,local Taylor continuation,1,0.002709648210837285,8.292355473009664,0.024592733574879642,4.7029523059115945,0.31100654545276357,1.5255814032307606,110.93749643225073,110.93749643247183,2.2110668851382798e-10,-0.3123206414520694,1.8605111031582835,6.427020802748894,542.7020802748893
BT2,19A,raw,integrated_local_projection,integrated local projection slope,numerical differential continuation,0,0.002709648210837285,8.292355473009664,0.024592733574879642,4.7029523059115945,0.31100654545276357,1.5255814032307606,110.93749643225073,110.93749643225073,0.0,1.5293306907472783,0.018859770958935762,1.0190387397723715,1.9038739772371471
BT2,19A,adjusted,factored_log_log,log contact + log HS (current),two-coefficient power continuation,2,0.002709648210837285,8.292355473009664,0.024592733574879642,4.7029523059115945,0.3113205119771682,1.5935278089995903,110.88234172416941,110.88234172503832,8.689085007063113e-10,1.518958265348267,0.02923219635794716,1.0296636508696873,2.9663650869687253
BT2,19A,adjusted,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,0.002709648210837285,8.292355473009664,0.024592733574879642,4.7029523059115945,0.3113205119771682,1.5935278089995903,110.88234172416941,110.88234172503832,8.689085007063113e-10,1.516448363463354,0.031742098242860006,1.0322512515613524,3.2251251561352445
BT2,19A,adjusted,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,0.002709648210837285,8.292355473009664,0.024592733574879642,4.7029523059115945,0.3113205119771682,1.5935278089995903,110.88234172416941,110.88234172503832,8.689085007063113e-10,1.5215647819905964,0.02662567971561769,1.0269833101215806,2.6983310121580617
BT2,19A,adjusted,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,0.002709648210837285,8.292355473009664,0.024592733574879642,4.7029523059115945,0.3113205119771682,1.5935278089995903,110.88234172416941,110.88234172120853,-2.960874212476483e-09,-0.30860378438198444,1.8567942460881985,6.403176824818015,540.3176824818015
BT2,19A,adjusted,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,0.002709648210837285,8.292355473009664,0.024592733574879642,4.7029523059115945,0.3113205119771682,1.5935278089995903,110.88234172416941,110.8823417320509,7.881496344452898e-09,1.9285978571242273,-0.38040739541801316,0.6835828639505709,31.64171360494291
BT2,19A,adjusted,quadratic_tangent,second-order local tangent,local Taylor continuation,2,0.002709648210837285,8.292355473009664,0.024592733574879642,4.7029523059115945,0.3113205119771682,1.5935278089995903,110.88234172416941,110.8823417243904,2.2099300167610636e-10,9.843710798542077,-8.295520336835862,0.00024963259605265706,99.97503674039473
BT2,19A,adjusted,local_linear_tangent,first-order local tangent,local Taylor continuation,1,0.002709648210837285,8.292355473009664,0.024592733574879642,4.7029523059115945,0.3113205119771682,1.5935278089995903,110.88234172416941,110.8823417243904,2.2099300167610636e-10,-0.3111136862668973,1.8593041479731114,6.419268356034795,541.9268356034795
BT2,19A,adjusted,integrated_local_projection,integrated local projection slope,numerical differential continuation,0,0.002709648210837285,8.292355473009664,0.024592733574879642,4.7029523059115945,0.3113205119771682,1.5935278089995903,110.88234172416941,110.88234172416941,0.0,1.532273975861313,0.015916485844901018,1.0160438278209154,1.6043827820915402
