test,train,held_out,adjustment,window,method,method_label,family,n_local_coefficients,n_points,rms_log_coordinate_error,max_abs_log_coordinate_error,median_abs_percent_ratio_error,max_abs_percent_ratio_error,ratio_min,ratio_max
held_out_profile_shape,BT2,19A,adjusted,full_admissible_grid,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,36,0.004096481834645834,0.008555789264659275,0.1830186585850102,0.8592494636092463,0.9992461184473621,1.0085924946360925
held_out_profile_shape,BT2,19A,adjusted,local_pm_0p015,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,19,0.8883755461173348,1.5362795383521073,62.488109083910636,318.54699734111176,0.21518018364851926,4.185469973411117
held_out_profile_shape,BT2,19A,adjusted,between_operating_points,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,14,1.1696856956677977,1.8387104956593183,185.3613145076554,528.8424080367754,1.0000000000000049,6.288424080367754
held_out_profile_shape,BT2,19A,adjusted,full_admissible_grid,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,36,1.8729121830840578,3.800034330851486,90.69338078156018,528.8424080367754,0.022370003861702403,6.288424080367754
held_out_profile_shape,BT2,19A,adjusted,local_pm_0p015,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,19,0.10501368787028606,0.22928436818370845,7.58277737533164,20.489760047125248,0.7951023995287475,1.1348784910792145
held_out_profile_shape,BT2,19A,adjusted,between_operating_points,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,14,0.2100041838330525,0.3984635192803754,13.3932486282764,32.86492284955197,0.6713507715044803,1.0
held_out_profile_shape,BT2,19A,adjusted,full_admissible_grid,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,36,0.1812472333187715,0.3984635192803754,15.522626765438352,32.86492284955197,0.6713507715044803,1.2811811410965652
held_out_profile_shape,BT2,19A,adjusted,local_pm_0p015,quadratic_tangent,second-order local tangent,local Taylor continuation,2,19,7.484362968300338,16.504384636563017,99.92999075112445,1471509754.540929,0.00045660849271281977,14715098.54540929
held_out_profile_shape,BT2,19A,adjusted,between_operating_points,quadratic_tangent,second-order local tangent,local Taylor continuation,2,14,6.124903678566454,8.313590143243559,99.82115416105965,99.9754837706247,0.00024516229375298694,0.999999999999968
held_out_profile_shape,BT2,19A,adjusted,full_admissible_grid,quadratic_tangent,second-order local tangent,local Taylor continuation,2,36,22.789844843353812,55.630745700774106,15766.827193721349,1.445858798025551e+26,0.00023225946507036851,1.445858798025551e+24
held_out_profile_shape,BT2,19A,adjusted,local_pm_0p015,local_linear_tangent,first-order local tangent,local Taylor continuation,1,19,0.890432936635847,1.5409238318660132,62.58918899150589,319.49481794904415,0.21418314078926073,4.194948179490441
held_out_profile_shape,BT2,19A,adjusted,between_operating_points,local_linear_tangent,first-order local tangent,local Taylor continuation,1,14,1.1714814194184486,1.841220394223999,185.89156714831833,530.422721077223,1.0000000000000049,6.304227210772229
held_out_profile_shape,BT2,19A,adjusted,full_admissible_grid,local_linear_tangent,first-order local tangent,local Taylor continuation,1,36,1.8791541900527684,3.8158803305335436,90.76894197521878,530.422721077223,0.022018322517630893,6.304227210772229
held_out_profile_shape,BT2,19A,adjusted,local_pm_0p015,integrated_local_projection,integrated local projection slope,numerical differential continuation,0,19,0.000774758399611461,0.0012326800616060396,0.06528223266022426,0.12334401239455506,0.9988203324388899,1.0012334401239456
held_out_profile_shape,BT2,19A,adjusted,between_operating_points,integrated_local_projection,integrated local projection slope,numerical differential continuation,0,14,0.0010899549570094864,0.0021533319867215184,0.07879833685454085,0.2151015230612341,0.9978489847693877,1.0000000000000004
held_out_profile_shape,BT2,19A,adjusted,full_admissible_grid,integrated_local_projection,integrated local projection slope,numerical differential continuation,0,36,0.0018630764733294852,0.003953655874699757,0.12323330438205327,0.3961481882469142,0.9972549148211985,1.0039614818824691
