test,adjustment,window,method,method_label,family,n_local_coefficients,n_points,rms_log_coordinate_error,max_abs_log_coordinate_error,median_abs_percent_ratio_error,max_abs_percent_ratio_error,ratio_min,ratio_max
pooled_profile_invariance,raw,full_admissible_grid,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,42,0.4525385257265065,2.7106840792239697,10.916982473414617,93.35086941672077,0.06649130583279232,1.0000000030859166
pooled_profile_invariance,raw,local_pm_0p006,quadratic_tangent,second-order local tangent,local Taylor continuation,2,9,0.0056257062206651635,0.015379951465385622,0.12109888061541119,1.5498831593875328,0.996297140552484,1.0154988315938753
pooled_profile_invariance,raw,between_operating_points,quadratic_tangent,second-order local tangent,local Taylor continuation,2,15,0.025115395647857818,0.07583665880658397,0.5584663566483794,7.8786349515533205,0.9646693084940146,1.0787863495155332
pooled_profile_invariance,raw,full_admissible_grid,quadratic_tangent,second-order local tangent,local Taylor continuation,2,42,0.5726114374799837,1.4833637009542215,16.598881804675507,77.31267303670298,0.2268732696329703,1.4573953954054941
pooled_profile_invariance,raw,local_pm_0p006,local_linear_tangent,first-order local tangent,local Taylor continuation,1,9,0.018543324202292943,0.04618141837404366,0.8472569102030647,4.7264386726102225,1.0000000030859166,1.0472643867261022
pooled_profile_invariance,raw,between_operating_points,local_linear_tangent,first-order local tangent,local Taylor continuation,1,15,0.05342783278037582,0.14723367245840535,2.263160878169712,15.862467007525872,1.0000000030859166,1.1586246700752587
pooled_profile_invariance,raw,full_admissible_grid,local_linear_tangent,first-order local tangent,local Taylor continuation,1,42,0.33261629786235314,0.6924786003662785,22.423489981594933,99.866328651254,1.0000000030859166,1.99866328651254
pooled_profile_invariance,raw,local_pm_0p006,integrated_local_projection,integrated local projection slope,numerical differential continuation,0,9,1.747281378506209e-07,4.499193864138107e-07,6.672904317994721e-06,4.499194876661505e-05,1.0000000030859166,1.0000004499194877
pooled_profile_invariance,raw,between_operating_points,integrated_local_projection,integrated local projection slope,numerical differential continuation,0,15,5.329625237094946e-07,1.4281442139996159e-06,2.0228661878896048e-05,0.00014281452338504863,1.0000000030859166,1.0000014281452339
pooled_profile_invariance,raw,full_admissible_grid,integrated_local_projection,integrated local projection slope,numerical differential continuation,0,42,4.373508183974543e-06,1.0590350231654e-05,0.00015622194279307777,0.0010590406309685108,1.0000000030859166,1.0000105904063097
pooled_profile_invariance,adjusted,local_pm_0p006,factored_log_log,log contact + log HS (current),two-coefficient power continuation,2,9,0.0005918026240103817,0.0014873541548978686,0.02756620632073936,0.1488460814685899,0.999992850664504,1.001488460814686
pooled_profile_invariance,adjusted,between_operating_points,factored_log_log,log contact + log HS (current),two-coefficient power continuation,2,15,0.0015542580797119824,0.004790356895164383,0.05070658489787494,0.48018489978525203,0.999992850664504,1.0048018489978525
pooled_profile_invariance,adjusted,full_admissible_grid,factored_log_log,log contact + log HS (current),two-coefficient power continuation,2,42,0.0049317421683304375,0.018317047214150062,0.4362638928110618,1.848583330274689,0.999992850664504,1.018485833302747
pooled_profile_invariance,adjusted,local_pm_0p006,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,9,0.0006679236838531403,0.0016575056503966845,0.0331309800452706,0.16588800721528685,0.9999931983912995,1.0016588800721529
pooled_profile_invariance,adjusted,between_operating_points,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,15,0.0017534695884724777,0.005182796838300252,0.07134819001062276,0.519625076277741,0.9999931983912995,1.0051962507627774
pooled_profile_invariance,adjusted,full_admissible_grid,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,42,0.009478638089451728,0.019021552976688838,0.6299652213216489,1.9203615252444628,0.9999931983912995,1.0192036152524446
pooled_profile_invariance,adjusted,local_pm_0p006,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,9,0.0005171504936717944,0.001318835828877818,0.021970854092767667,0.1319705875290289,0.9999801600562735,1.0013197058752903
pooled_profile_invariance,adjusted,between_operating_points,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,15,0.001376493972301698,0.004403616165149504,0.03142700388916175,0.4413326330863443,0.9999801600562735,1.0044133263308634
pooled_profile_invariance,adjusted,full_admissible_grid,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,42,0.004130614922612741,0.0176261989715516,0.1279112011510486,1.7782457145764319,0.9912649616717669,1.0177824571457643
pooled_profile_invariance,adjusted,local_pm_0p006,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,9,0.018576262870171383,0.04626431487518423,0.8544318474553947,4.735120487794164,0.9999999999999982,1.0473512048779416
pooled_profile_invariance,adjusted,between_operating_points,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,15,0.053293360954576804,0.14728438666846388,2.271861215811044,15.868343030013254,0.9999999999999982,1.1586834303001325
pooled_profile_invariance,adjusted,full_admissible_grid,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,42,0.32707677477575475,0.6771832294548547,22.22572305949042,96.83255947941578,0.9999999999999982,1.9683255947941578
pooled_profile_invariance,adjusted,local_pm_0p006,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,9,0.024368584679458526,0.06525292339671829,0.6970832402807159,6.316951293869744,0.9368304870613026,0.9999999999999982
pooled_profile_invariance,adjusted,between_operating_points,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,15,0.09035714193274036,0.30426228695345037,2.048781801033883,26.23326394499945,0.7376673605500055,0.9999999999999982
pooled_profile_invariance,adjusted,full_admissible_grid,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,42,0.4530823433997716,2.712256711841243,10.90402743366911,93.36131783843476,0.06638682161565249,0.9999999999999982
pooled_profile_invariance,adjusted,local_pm_0p006,quadratic_tangent,second-order local tangent,local Taylor continuation,2,9,0.005707938749449172,0.01559686866704113,0.11369328625152608,1.571913465160657,0.99633631670778,1.0157191346516066
pooled_profile_invariance,adjusted,between_operating_points,quadratic_tangent,second-order local tangent,local Taylor continuation,2,15,0.025292163808929832,0.07619606269975421,0.5744011943045635,7.9174139211837025,0.9642974897937941,1.079174139211837
pooled_profile_invariance,adjusted,full_admissible_grid,quadratic_tangent,second-order local tangent,local Taylor continuation,2,42,0.5742435933583914,1.4879832069418109,16.61823645549813,77.41723557985966,0.22582764420140336,1.4584284810445078
pooled_profile_invariance,adjusted,local_pm_0p006,local_linear_tangent,first-order local tangent,local Taylor continuation,1,9,0.018653461315351547,0.04643446637068305,0.8583645383275718,4.7529428413834784,0.9999999999999982,1.0475294284138348
pooled_profile_invariance,adjusted,between_operating_points,local_linear_tangent,first-order local tangent,local Taylor continuation,1,15,0.053520387788579565,0.14767682661159975,2.2813826852366104,15.913823319520603,0.9999999999999982,1.159138233195206
pooled_profile_invariance,adjusted,full_admissible_grid,local_linear_tangent,first-order local tangent,local Taylor continuation,1,42,0.33216527664405876,0.6904114050312865,22.50423892277794,99.45359265898166,0.9999999999999982,1.9945359265898166
pooled_profile_invariance,adjusted,local_pm_0p006,integrated_local_projection,integrated local projection slope,numerical differential continuation,0,9,0.00010644432639506655,0.0002208552341784742,0.006643995319055573,0.022087962449135468,0.9999335600468094,1.0002208796244914
pooled_profile_invariance,adjusted,between_operating_points,integrated_local_projection,integrated local projection slope,numerical differential continuation,0,15,0.00018114607393181204,0.00033981305026520303,0.010423533774117644,0.033987079326025516,0.9996892815522733,1.0003398707932603
pooled_profile_invariance,adjusted,full_admissible_grid,integrated_local_projection,integrated local projection slope,numerical differential continuation,0,42,0.0008754592891619888,0.0024467153751190907,0.03957300564576549,0.24437246067392504,0.9975562753932607,1.0005817306094007
