replicate,Vcem_fraction,Cn,median_mK,median_mG,endpoint_AK,endpoint_AG,endpoint_betaK_at_pooled_V,endpoint_betaG_at_pooled_V,contact_beta_raw_at_pooled_V,HS_beta_raw_at_pooled_V,total_beta_raw_at_pooled_V,contact_beta_adjusted_at_pooled_V,HS_beta_adjusted_at_pooled_V,total_beta_adjusted_at_pooled_V,A_raw_saved,Gamma_raw_saved,A_adjusted_saved,Gamma_adjusted_saved,A_raw_recomputed,Gamma_raw_recomputed,A_adjusted_recomputed,Gamma_adjusted_recomputed
10,0.0104559144580424,5.474324741773063,0.9431858864633618,0.9284468380693853,0.30855192740919574,0.3022727555481453,24.593559732544115,24.093069622071216,24.206180106571086,-3.86734158051201,20.338838526059074,24.22097228517151,-4.211107617328776,20.00986466784273,0.3036918448699908,1.4984167875140142,0.3038774282205662,1.6316102977896714,0.3036918448775686,1.4984167875600212,0.3038774282265436,1.6316102978112526
11,0.0112458131985593,5.809262125939215,0.9441260934424603,0.9296677499447707,0.30895453225883396,0.3027906018731516,24.6256499110153,24.13434528232477,24.222928924417623,-3.8022592199580765,20.420669704459545,24.229538176453644,-4.163477490917672,20.066060685535977,0.3039019763062113,1.4732003695703624,0.3039848962851255,1.6131558169738436,0.3039019762980465,1.473200369541429,0.3039848962747895,1.6131558169385751
12,0.0107271726867871,5.821088674365273,0.9457385785994634,0.9316552410938613,0.3096455895925875,0.3036344721008455,24.68073159518751,24.201607130356532,24.254869572688836,-3.777879564315208,20.47699000837363,24.238027413485053,-4.161381969242064,20.076645444242992,0.3043027051431084,1.4637543755901128,0.3040914026419425,1.61234389881457,0.3043027051396468,1.4637543755513058,0.30409140263530854,1.6123438987690297
13,0.00646803016703,6.534813492172349,0.9501978297743888,0.9364587164727209,0.31156048056195634,0.3056785039940796,24.833360638317835,24.364529530108104,24.46994506501029,-3.8860733650584507,20.583871699951843,24.505667533879137,-4.209201842742298,20.29646569113684,0.30700105212565,1.505674491505283,0.3074492278570677,1.630871897890375,0.30700105212018475,1.5056744914904667,0.30744922784827716,1.6308718979310144
14,0.0188476230293506,4.718507906754477,0.9340333248834949,0.9177773478648891,0.3046456220363198,0.2977647793319306,24.282202239729052,23.733755119396484,23.82454284111075,-3.854386163183633,19.970156677927115,23.836669524128403,-4.16318750297562,19.673482021152783,0.2989038062489229,1.4933971598421498,0.29905594816977,1.6130434599990324,0.29890380625488416,1.4933971598585116,0.2990559481774713,1.613043459990308
15,0.0130810184761573,5.3050256974145205,0.9398463038416123,0.9245409542751017,0.30712388891494674,0.3006188476352101,24.479735941833813,23.961242595773122,24.075314172921786,-3.8522265445289996,20.22308762839279,24.106872440938623,-4.169111948385489,19.93776049255313,0.3020499948694696,1.4925604070549023,0.3024459263461727,1.6153389097993789,0.30204999487288375,1.4925604070265133,0.30244592635046297,1.6153389097366027
16,0.0055318081553323,6.39001366412759,0.9517434197517805,0.938243943351217,0.31222549503174696,0.3064398097012873,24.88636653986293,24.42521045841133,24.521772093982992,-3.9089180262572216,20.61285406772577,24.569973983522495,-4.255740678446835,20.31423330507566,0.3076512764061253,1.5145257458185306,0.3082560195211489,1.6489035538067889,0.3076512764069976,1.5145257457909114,0.30825601952319204,1.648903553796313
17,0.007565226260731,6.4659868092064725,0.9484519701052326,0.934470198510522,0.31081010713697993,0.3048315492012122,24.77355108274699,24.297021822526926,24.411031207672295,-3.8411592506140435,20.56987195705825,24.4446378271871,-4.147479193165798,20.297158634021304,0.3062619161717484,1.4882723402655378,0.3066835463602111,1.6069572132498138,0.3062619161772516,1.48827234028867,0.30668354636982065,1.606957213297344
18,0.0179969235815331,5.149392360705559,0.9348216306847027,0.918611673472349,0.3049811521714229,0.2981161658736834,24.308946134959314,23.761762871531992,23.890735185595823,-3.8089978405613847,20.08173734503444,23.912503876323417,-4.069471576919938,19.84303229940348,0.2997342584361098,1.475811274768798,0.3000073694275327,1.5767328538796046,0.299734258447608,1.4758112747862477,0.30000736944235246,1.576732853926106
19,0.0111359246849657,5.414528301471387,0.9420437002135761,0.9270916445500869,0.3080631663308501,0.3016984359152321,24.5546023522543,24.04729267840983,24.169941677982006,-3.861825298009086,20.308116379972923,24.204196388278454,-4.217366605816948,19.986829782461506,0.3032371958842791,1.4962794820459109,0.3036669570493872,1.6340353676285482,0.30323719589019893,1.49627948206057,0.3036669570564081,1.634035367587193
20,0.0121916587809306,5.462163872443491,0.940873710194398,0.9257125128767392,0.3075628859553189,0.30111449132656326,24.514726810390222,24.000748564287743,24.131632131952024,-3.8432205024327915,20.288411629519235,24.15180057018336,-4.164233805347927,19.98756676483544,0.3027565625642445,1.4890709804332618,0.3030095967145175,1.6134488539904452,0.30275656256440847,1.4890709804235212,0.30300959671490574,1.6134488539768534
21,0.0162928547449132,5.233633422766699,0.9360544258248482,0.9200259474657658,0.3055062184245373,0.2987122397049933,24.350797269606048,23.809273763777643,23.950504722054358,-3.8090142311923674,20.14149049086199,23.955344312554352,-4.123942353127999,19.83140195942636,0.3004841297794693,1.4758176253835835,0.3005448475036574,1.597837771508389,0.30048412977384426,1.475817625354083,0.3005448474932361,1.5978377714126422
22,0.0129541937529558,5.309441507654716,0.9411507311623165,0.9261882668734804,0.3076813037995624,0.30131587334771814,24.524165469063515,24.01679999785978,24.094580543659898,-3.859003438855974,20.23557710480393,24.11756140729353,-4.184522532346215,19.933038874947314,0.3022917116396352,1.4951861415589134,0.3025800306078853,1.6213098014911052,0.3022917116400158,1.4951861415618655,0.3025800306122629,1.62130980155271
23,0.0061179659487589,6.478995249098504,0.9511809225673665,0.9376573406853631,0.31198339370414274,0.30618955649307195,24.867069517440296,24.40526367902744,24.504973416293204,-3.896380751630845,20.60859266466236,24.53130109627319,-4.256368502575515,20.274932593697677,0.3074405194260265,1.5096681291899654,0.3077708277055265,1.6491468067479722,0.3074405194210928,1.5096681292020078,0.3077708277036176,1.6491468067118775
24,0.0186712939064586,4.91064029089284,0.9355569740802581,0.9196442806640018,0.305294295298398,0.2985513247353914,24.33390564262716,23.79644781272949,23.868720054805657,-3.793226247010342,20.07549380779532,23.872383216871103,-4.129990626386377,19.74239259048473,0.2994580555963687,1.4697005084838086,0.2995040137955069,1.600181198898277,0.2994580555963687,1.4697005084838086,0.29950401379550695,1.600181198898277
25,0.0049859805427166,6.875449287020527,0.953570471102058,0.9403247756375731,0.3130124829925135,0.3073282968565781,24.949094507840382,24.49602856059827,24.593171618900417,-3.860896523552085,20.73227509534833,24.61570061987195,-4.2525305202907795,20.36317009958117,0.3085470581176365,1.4959196247100095,0.3088297079962213,1.6476597653356988,0.3085470581169303,1.49591962470399,0.30882970799699144,1.6476597655575855
26,0.0285740228331988,4.604378430778616,0.926672115203399,0.9089787106658405,0.3015207455694978,0.29407067295277173,24.033129622718015,23.439311241968586,23.53535680516217,-3.8067659295639786,19.728590875598197,23.52509833262823,-4.122984276455451,19.402114056172785,0.2952756649899052,1.4749465120274867,0.2951469617233979,1.5974665609132075,0.2952756649922762,1.474946512001945,0.2951469617269918,1.5974665608916079
27,0.0049718827906575,7.281178010960367,0.9537294128542549,0.9404280408252153,0.31308099053271166,0.3073724211666731,24.954554996439953,24.499545549991566,24.595478964907503,-3.8667390059678364,20.728739958939663,24.6311732526135,-4.225858320400468,20.40531493221304,0.308576006186376,1.498183317624189,0.3090238283556332,1.6373255160216569,0.30857600618457537,1.4981833176270816,0.3090238283614912,1.637325516137902
28,0.0132299601368017,5.305768618491522,0.9392199389331055,0.9237563080656666,0.3068563961455375,0.30028710355024285,24.458415059291518,23.934800472925062,24.07078863206737,-3.8651899123254063,20.205598719741964,24.099503626402683,-4.155611005921306,19.943892620481385,0.3019932172265263,1.4975831151670425,0.3023534768613274,1.6101079162565446,0.3019932172222833,1.4975831151359578,0.3023534768531399,1.6101079162202578
